ISO3,year,population,built_up_km2,built_up_per_capita_m2
AFE,1975,91180491.01334734,4485.790558111111,49.19682388477667
AFE,1980,112369413.66491638,5263.463839222222,46.84071641521401
AFE,1985,132297302.31388022,6086.50372911111,46.006257290648726
AFE,1990,154868379.0918985,7064.824146999999,45.61824814352677
AFE,1995,180860400.83555338,7863.825994333334,43.48008717222455
AFE,2000,208210669.68182647,8904.118462333332,42.764948001656236
AFE,2005,237585045.88145977,9771.455891222222,41.12824464590913
AFE,2010,270921122.2333395,11012.361267444447,40.64785047641911
AFE,2015,306315324.64319384,12597.594535777778,41.12623013703892
AFE,2020,336797455.51017594,14477.549338777777,42.98592255350443
AFW,1975,79603001.36501877,3718.950399222222,46.71872084532356
AFW,1980,91529611.33263668,4145.840944444444,45.29507865359156
AFW,1985,104672799.36537422,4724.448618,45.135399517774324
AFW,1990,119512500.65458004,5397.400303333334,45.16180544939916
AFW,1995,137391802.77544767,5913.229064555555,43.0391693325409
AFW,2000,158050017.28606537,6544.295240555555,41.4064822828244
AFW,2005,181995885.42044532,7372.2484211111105,40.507775239422614
AFW,2010,208456378.9827058,8499.339732222223,40.772749549330676
AFW,2015,237290191.80899048,9727.819679555556,40.995456261361525
AFW,2020,266008785.67007595,10431.422040111114,39.214577119452535
AGO,1975,3952920.2022026908,334.1201533333333,84.52489203985223
AGO,1980,4819031.426988389,360.1980366666666,74.74490302126317
AGO,1985,5913770.65226237,395.2687454444444,66.83870049867937
AGO,1990,7114671.206081814,435.18178466666666,61.16681601458426
AGO,1995,8540007.456542969,459.59796222222224,53.81704460575137
AGO,2000,10154103.66655816,490.46759999999995,48.30240227065252
AGO,2005,12165911.047743056,515.0104263333333,42.332253154922974
AGO,2010,15289729.306640625,546.7709722222222,35.7606705296443
AGO,2015,19304199.536892362,595.9056446666667,30.86922322408801
AGO,2020,23278431.625651043,695.4151954444444,29.87379934471832
BDI,1975,1978981.535912196,39.75127388888889,20.08673308342205
BDI,1980,2408838.436230554,47.09033233333333,19.54897913660916
BDI,1985,2881708.672572242,58.814990222222214,20.40976271543902
BDI,1990,3280344.681441413,73.80352066666666,22.49870907902176
BDI,1995,3610170.347308689,84.90224955555554,23.517518949998717
BDI,2000,3890140.4381506178,100.54963466666666,25.84730198441581
BDI,2005,4599119.2472873265,116.70183899999999,25.374823466217713
BDI,2010,5670086.769639757,142.6175648888889,25.15262476273356
BDI,2015,6571959.65093316,179.06806455555554,27.247286055709342
BDI,2020,7249824.9410807295,229.62709255555555,31.673467210826896
BEN,1975,2263039.868177626,140.32218133333333,62.00605800477195
BEN,1980,2569126.4477267796,158.53620522222224,61.70821423075481
BEN,1985,2927196.302842882,182.79145366666668,62.44591573484166
BEN,1990,3364959.7671169704,211.15731277777778,62.75180905318612
BEN,1995,3972275.7456054688,231.4395272222222,58.263711294026834
BEN,2000,4602708.610677083,256.0548043333333,55.631330590720644
BEN,2005,5328778.383409288,293.71329344444445,55.11831649049181
BEN,2010,6125060.2416449655,344.5383961111111,56.25061346638785
BEN,2015,7024068.510199653,398.0644163333333,56.67148829133768
BEN,2020,7975030.8080512155,416.688824,52.2491804770623
BFA,1975,1582497.1213565404,91.33597988888889,57.71636400235238
BFA,1980,1948607.8720228407,106.12253688888889,54.46069392028247
BFA,1985,2435779.0717637804,127.53887111111112,52.36060716243797
BFA,1990,2845729.1346842446,151.27994166666664,53.16034468032823
BFA,1995,3415954.8213975695,178.5697551111111,52.275209845443115
BFA,2000,4156966.8157552085,210.30736666666667,50.59154330257975
BFA,2005,5086272.454861111,249.09944988888887,48.974853804934625
BFA,2010,6027593.688368056,297.6633923333333,49.38345345137627
BFA,2015,7005536.040364583,347.954351,49.668483467239675
BFA,2020,7942870.258463541,379.47487233333334,47.77553453412929
BWA,1975,436086.1093885634,103.00943288888888,236.21351533833186
BWA,1980,565346.2457546658,112.58226555555555,199.1386100128293
BWA,1985,687155.7116970486,124.70837333333334,181.48488211695812
BWA,1990,811689.9889865451,137.877552,169.8647930500539
BWA,1995,948674.28515625,158.30100233333334,166.86549304671055
BWA,2000,1067165.2261284722,182.7769807777778,171.2733663941313
BWA,2005,1157684.0364583333,192.8398442222222,166.57381301738525
BWA,2010,1256420.4613715278,205.41367666666667,163.49119023613636
BWA,2015,1357941.6809895833,217.6614908888889,160.28780465024886
BWA,2020,1476292.1705729167,221.23712066666667,149.85998373263024
CAF,1975,983934.7827148438,41.06438066666667,41.73486026519262
CAF,1980,1047670.030544705,44.404167111111114,42.38373325237192
CAF,1985,1111770.367513021,48.812553666666666,43.90524796578101
CAF,1990,1215541.7570529513,53.93228366666667,44.36892715016559
CAF,1995,1406071.4637586805,58.661164222222226,41.719902390601426
CAF,2000,1601390.6265190972,64.63847266666666,40.36396341795111
CAF,2005,1789596.7738715278,67.77511433333333,37.87172357642996
CAF,2010,1986634.304904514,71.67997188888889,36.081110505304665
CAF,2015,2084320.130642361,76.27635833333333,36.59531816248684
CAF,2020,2292270.2102864585,81.15658311111112,35.40445744438183
CIV,1975,3849929.534939236,250.2513461111111,65.00153933728059
CIV,1980,4695292.438483344,267.8102902222222,57.03804262056343
CIV,1985,5558138.816826714,289.7401271111111,52.12898357881088
CIV,1990,6542493.288682726,313.79702444444445,47.96291117138077
CIV,1995,7832469.99758572,336.54362633333335,42.96775173566825
CIV,2000,9171257.746365018,365.93346433333335,39.900030557790096
CIV,2005,10329174.983940972,394.58621666666664,38.20113583903262
CIV,2010,11500589.120768229,433.970938,37.73467023670272
CIV,2015,12817144.951497396,482.03763755555553,37.6088153313145
CIV,2020,14556220.730034722,534.1288694444445,36.69419963812066
CMR,1975,5109541.59967041,245.92163455555558,48.12988205662494
CMR,1980,5825776.39316135,284.0099964444444,48.750583145936154
CMR,1985,6638656.412543403,336.41901522222224,50.67576845618576
CMR,1990,7668987.838161892,398.29726055555557,51.936092345012725
CMR,1995,8976428.775716146,431.20510177777777,48.03748935704956
CMR,2000,10356037.208170572,469.71310844444446,45.35645237676978
CMR,2005,11904810.9968533,502.7725892222222,42.23272333807869
CMR,2010,13691344.536132812,544.6342093333334,39.77945393865372
CMR,2015,15770751.816080729,591.7463813333334,37.521761057069966
CMR,2020,17872777.17296007,636.1735383333333,35.59455434244475
COD,1975,13089550.476303948,512.665564,39.16601757471198
COD,1980,15085208.819417318,558.574062,37.027930384431734
COD,1985,17372305.692077637,620.4371531111111,35.71415125362729
COD,1990,20309838.025041368,691.2816724444444,34.036789047362994
COD,1995,24880846.756781682,740.55336,29.76399345404714
COD,2000,28425894.314602323,800.7568663333334,28.169979718878583
COD,2005,33085525.363023546,857.9390265555555,25.930947661915926
COD,2010,38874032.68967014,933.4804246666666,24.01295569509353
COD,2015,46175417.8218316,1033.8917413333334,22.39052270891445
COD,2020,54032103.95985243,1183.9080697777779,21.91119691836282
COG,1975,1565113.0183556876,98.92644511111112,63.207221428036895
COG,1980,1757877.5696529811,104.19040533333333,59.27056988041627
COG,1985,1974615.2476128472,110.86128377777779,56.14323292185668
COG,1990,2244317.1619737414,118.50740988888887,52.80332561582729
COG,1995,2516491.5889756945,119.1138308888889,47.33329187774979
COG,2000,2784026.1763237845,120.01499277777779,43.10842828936819
COG,2005,3144402.953450521,125.18173544444444,39.810971207451594
COG,2010,3656059.128797743,131.63998255555558,36.005977452242135
COG,2015,4107064.3636610243,141.79341566666668,34.524274058435374
COG,2020,4672484.3846571185,163.28451622222224,34.94597365769571
COM,1975,180278.71375868056,8.621132333333334,47.821132920182144
COM,1980,208264.97295464412,9.776611444444443,46.94313837677155
COM,1985,233525.2548828125,11.213296222222223,48.01748842046772
COM,1990,263480.9464789496,12.888376000000001,48.915779953863556
COM,1995,295549.0831976997,12.90037,43.64882428469806
COM,2000,327836.5635036892,12.913104333333333,39.38884728209403
COM,2005,364646.6345214844,13.34198222222222,36.58879846712566
COM,2010,407532.7262369791,13.857936333333333,34.00447483394249
COM,2015,455887.203016493,14.324210444444445,31.42051443792386
COM,2020,496771.92404513893,14.47917488888889,29.146524165430186
CPV,1975,80208.546875,5.641368555555556,70.33375837549178
CPV,1980,86475.78776041666,6.0748706666666665,70.24938221432858
CPV,1985,93294.27864583331,6.630786555555556,71.07388204080078
CPV,1990,101241.72352430555,7.281851888888888,71.92540422467918
CPV,1995,148354.29774305556,8.153643666666667,54.960616515394065
CPV,2000,170634.8828125,9.957579666666666,58.35606121409786
CPV,2005,179357.4865451389,10.184745444444445,56.78461290145951
CPV,2010,185384.88628472222,10.477968333333333,56.52007854211379
CPV,2015,191483.6627604167,10.793357555555556,56.366989224872654
CPV,2020,196799.3359375,11.009626555555554,55.9434131375932
ERI,1975,828362.0542399088,8.54173433333333,10.31159538225237
ERI,1980,939213.7725558812,10.061741555555553,10.712940812371766
ERI,1985,1071716.3760579426,12.195402777777776,11.379319239886682
ERI,1990,1223613.262898763,14.673523,11.991961385935083
ERI,1995,1320746.1698676215,16.933201444444443,12.820935491443946
ERI,2000,1523093.0710720485,20.00555611111111,13.134821824794951
ERI,2005,1739893.5534939235,22.109766333333333,12.707539658925779
ERI,2010,1836893.7727864583,24.966744666666663,13.591828246438878
ERI,2015,1808154.1050347222,28.203282444444444,15.597831161577266
ERI,2020,1607641.1881510417,30.772532666666667,19.141418429356335
ETH,1975,13883671.276565764,151.9898091111111,10.94737883686821
