City Name,Country Code,Year,Population,Size Category
Lagos,NGA,2015,11847.635,10 million or more
Onitsha,NGA,2015,8530.514,5 to 10 million
Kano,NGA,2015,3888.582,1 to 5 million
Ibadan,NGA,2015,3088.477,1 to 5 million
Abuja,NGA,2015,1998.816,1 to 5 million
Port Harcourt,NGA,2015,1845.232,1 to 5 million
Uyo,NGA,2015,2271.025,1 to 5 million
Maiduguri,NGA,2015,1012.148,1 to 5 million
Kaduna,NGA,2015,1447.25,1 to 5 million
Aba,NGA,2015,1687.158,1 to 5 million
Benin City,NGA,2015,1569.977,1 to 5 million
Ilorin,NGA,2015,891.33,500 000 to 1 million
Ikorodu,NGA,2015,732.343,500 000 to 1 million
Nsukka,NGA,2015,1430.312,1 to 5 million
Enugu,NGA,2015,905.042,500 000 to 1 million
Osogbo,NGA,2015,763.544,500 000 to 1 million
Jos,NGA,2015,870.424,500 000 to 1 million
Katsina,NGA,2015,452.172,300 000 to 500 000
Abeokuta,NGA,2015,747.542,500 000 to 1 million
Warri,NGA,2015,585.552,500 000 to 1 million
Zaria,NGA,2015,796.34,500 000 to 1 million
Bauchi,NGA,2015,528.44,500 000 to 1 million
Sokoto,NGA,2015,840.02,500 000 to 1 million
Akure,NGA,2015,532.778,500 000 to 1 million
Abakaliki,NGA,2015,354.397,300 000 to 500 000
Loburo,NGA,2015,269.118,Fewer than 300 000
Umuahia,NGA,2015,392.624,300 000 to 500 000
Gombe,NGA,2015,600.87,500 000 to 1 million
Ado Ekiti,NGA,2015,382.239,300 000 to 500 000
Minna,NGA,2015,391.58,300 000 to 500 000
Jalingo,NGA,2015,227.952,Fewer than 300 000
Jimeta,NGA,2015,445.265,300 000 to 500 000
Makurdi,NGA,2015,338.179,300 000 to 500 000
Oyo,NGA,2015,435.645,300 000 to 500 000
Eket,NGA,2015,282.97,Fewer than 300 000
Yenagoa,NGA,2015,287.98,Fewer than 300 000
Calabar,NGA,2015,516.941,500 000 to 1 million
Ife 1,NGA,2015,498.267,300 000 to 500 000
Lafia,NGA,2015,292.494,Fewer than 300 000
