ISO_A3,WB_NAME_pop,surface_area_km2_pop,worldpop_pop_2015,worldpop_pop_2020,worldpop_pop_cagr_2015_2020,pop_ftm3_all_flood_rp10_2015,pop_ftm3_all_flood_rp10_2020,pop_ftm3_all_flood_rp100_2015,pop_ftm3_all_flood_rp100_2020,pop_ftm3_fluvial_pluvial_flood_rp10_2015,pop_ftm3_fluvial_pluvial_flood_rp10_2020,pop_ftm3_fluvial_pluvial_flood_rp100_2015,pop_ftm3_fluvial_pluvial_flood_rp100_2020,pop_ftm3_coastal_flood_rp10_2015,pop_ftm3_coastal_flood_rp10_2020,pop_ftm3_coastal_flood_rp100_2015,pop_ftm3_coastal_flood_rp100_2020,pop_ftm3_all_flood_rp10_cagr_2015_2020,pop_ftm3_all_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_coastal_flood_rp10_cagr_2015_2020,pop_ftm3_coastal_flood_rp100_cagr_2015_2020,WB_NAME_builtup,surface_area_km2_builtup,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_cagr_2015_2020,built_ftm3_all_flood_rp10_2015,built_ftm3_all_flood_rp10_2020,built_ftm3_all_flood_rp100_2015,built_ftm3_all_flood_rp100_2020,built_ftm3_fluvial_pluvial_flood_rp10_2015,built_ftm3_fluvial_pluvial_flood_rp10_2020,built_ftm3_fluvial_pluvial_flood_rp100_2015,built_ftm3_fluvial_pluvial_flood_rp100_2020,built_ftm3_coastal_flood_rp10_2015,built_ftm3_coastal_flood_rp10_2020,built_ftm3_coastal_flood_rp100_2015,built_ftm3_coastal_flood_rp100_2020,built_ftm3_all_flood_rp10_cagr_2015_2020,built_ftm3_all_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_coastal_flood_rp10_cagr_2015_2020,built_ftm3_coastal_flood_rp100_cagr_2015_2020
AGO,Angola,1318971.92,27655590,32920418,0.0354675244111393,278297.0,324617.0,1517245.0,1780414.0,204657,237358,1463023,1716176,73869.0,87526.0,79013.0,93595.0,0.0312703867323811,0.0325071246818611,0.0300906711057336,0.0324336098256727,0.0345106651109532,0.0344531333174202,Angola,1318971.92,1031.5071,1301.3281,0.047569633,8.742729187011719,10.352249145507812,47.76028060913086,55.787742614746094,5.5538206,6.972979,45.331352,53.23476,3.197008848190308,3.388058662414551,3.3919360637664795,3.596763610839844,0.0343738626118392,0.0315597393485398,0.04656279,0.032664657,0.0116759284076075,0.0117957425828054
BDI,Burundi,27211.54,10980263,12441309,0.0252993140643618,67260.0,74944.0,339390.0,388253.0,67260,74944,339390,388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0218708279270489,0.0272665710045103,0.0,0.0,Burundi,27211.54,309.3459,423.56915,0.06486857,1.2787574529647827,1.8139846324920652,8.621125221252441,10.978599548339844,1.2787575,1.8139846,8.621125,10.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.07243037,0.0495342,0.0,0.0
BEN,Benin,119446.19,11193712,12898336,0.0287548873321021,46461.0,52706.0,363728.0,416101.0,40686,45968,357810,409204,5778.0,6741.0,6103.0,7116.0,0.025544006668045,0.027269526110544,0.0247127094717536,0.0272058386571965,0.031310306477545,0.0311895752449882,Benin,119446.19,670.8756,737.7873,0.019196272,3.1459274291992188,3.4290499687194824,21.108562469482425,22.91409492492676,2.2675648,2.5386586,20.20037,21.993301,0.8784856796264648,0.890562117099762,0.918294370174408,0.9312806129455566,0.017384279664008,0.0165501527623546,0.022842884,0.017152786,0.0027343814291618,0.0028124752522677
BFA,Burkina Faso,288193.0,18502094,21219332,0.0277847393812864,106906.0,118176.0,989868.0,1115249.0,106906,118176,989868,1115249,0.0,0.0,0.0,0.0,0.0,0.0,0.0202472695031987,0.0241390160746834,0.0,0.0,Burkina Faso,288193.0,969.2919,1254.6143,0.05295825,3.3759138584136963,4.198197364807129,40.95441818237305,51.03907775878906,3.3759139,4.1981974,40.95442,51.039078,0.0,0.0,0.0,0.0,0.0,0.0,0.04456222,0.04500997,0.0,0.0
BWA,Botswana,678331.43,2187614,2348750,0.0143158683544792,9003.0,9660.0,90804.0,97131.0,9003,9660,90804,97131,0.0,0.0,0.0,0.0,0.0,0.0,0.0141868502123043,0.0135625978805178,0.0,0.0,Botswana,678331.43,455.8665,481.81702,0.011134386,1.1492431163787842,1.2643393278121948,11.819707870483398,12.638792991638184,1.1492431,1.2643393,11.819708,12.638793,0.0,0.0,0.0,0.0,0.0,0.0,0.019272566,0.013490677,0.0,0.0
CAF,Central African Republic,633070.44,4589877,4960549,0.0156538971945761,68207.0,73383.0,346278.0,373016.0,68207,73383,346278,373016,0.0,0.0,0.0,0.0,0.0,0.0,0.0147365482796288,0.0149870752832907,0.0,0.0,Central African Republic,633070.44,192.92917,206.19069,0.013384461,2.477192640304565,2.655314922332764,11.925950050354004,12.72337532043457,2.4771926,2.655315,11.92595,12.723375,0.0,0.0,0.0,0.0,0.0,0.0,0.013984323,0.013028979,0.0,0.0
CIV,Côte d'Ivoire,329776.9,24880340,28557938,0.0279550090118734,219973.0,249791.0,1013648.0,1153016.0,219348,249077,1012988,1152260,626.0,716.0,731.0,837.0,0.025749896393213,0.0260998714791429,0.0257463717615413,0.0260989354481615,0.0272301027615762,0.0274521758785792,Côte d'Ivoire,329776.9,1137.7078,1272.3403,0.022620559,9.061946868896484,10.23116397857666,40.40909194946289,45.35429382324219,9.009836,10.174429,40.355453,45.29487,0.0521396733820438,0.056752897799015,0.0598507933318614,0.0657732114195823,0.0245678093383316,0.0233586471067319,0.024610043,0.02336216,0.0171006855484197,0.0190507832724049
CMR,Cameroon,474652.63,22417796,25857312,0.0289590531260273,355766.0,407128.0,1709425.0,1969139.0,341322,390376,1696528,1954143,14966.0,17357.0,16223.0,18803.0,0.0273378905533732,0.0286917681582536,0.0272207073725565,0.0286770764388712,0.0300867111865208,0.0299572418666231,Cameroon,474652.63,1082.9913,1236.8746,0.026928306,13.88149642944336,16.433895111083984,64.75279235839844,73.60039520263672,13.197132,15.717273,64.12265,72.93996,0.7024202346801758,0.7356368899345398,0.7475048303604126,0.7819567322731018,0.0343341053346395,0.0259455899341325,0.035570145,0.026102662,0.009283787701154,0.0090524563108052
COD,"Congo, Democratic Republic of",2364426.58,79711920,94412576,0.0344304959628478,1127973.0,1306470.0,4250250.0,4934833.0,1125233,1303163,4247430,4931436,2766.0,3335.0,2884.0,3478.0,0.0298172150702751,0.0303187346950404,0.0297961316209993,0.0303136040766049,0.0381228073157815,0.0381661499275636,"Congo, Democratic Republic of",2364426.58,2311.143,2791.191,0.038466573,24.525279998779297,29.90336036682129,96.00467681884766,114.35783386230467,24.398756,29.77166,95.87345,114.22116,0.1295345276594162,0.1347618997097015,0.1351189613342285,0.140922412276268,0.0404499748815967,0.035606353272501,0.04060781,0.035642028,0.0079437952296597,0.0084462471397299
COG,"Congo, Rep. of",344672.72,5035922,5683274,0.0244810272677598,52651.0,58853.0,322184.0,362116.0,50092,55968,321611,361468,2563.0,2891.0,2694.0,3038.0,0.0225213772304044,0.0236435377157369,0.0224316460044624,0.0236412827039693,0.0243771845993057,0.0243256209076281,"Congo, Rep. of",344672.72,202.2738,242.38663,0.03684497,2.276698589324951,3.005892276763916,12.741389274597168,15.507670402526855,2.1011205,2.8188028,12.652839,15.409424,0.1761474758386612,0.188002660870552,0.1864093840122223,0.1998279094696045,0.0571426018132192,0.0400781085954593,0.06052947,0.04020679,0.0131121280623986,0.0139993456156588
