ISO_A3,WB_NAME,surface_area_km2,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_cagr_2015_2020,built_ftm3_all_flood_rp10_2015,built_ftm3_all_flood_rp10_2020,built_ftm3_all_flood_rp100_2015,built_ftm3_all_flood_rp100_2020,built_ftm3_fluvial_pluvial_flood_rp10_2015,built_ftm3_fluvial_pluvial_flood_rp10_2020,built_ftm3_fluvial_pluvial_flood_rp100_2015,built_ftm3_fluvial_pluvial_flood_rp100_2020,built_ftm3_coastal_flood_rp10_2015,built_ftm3_coastal_flood_rp10_2020,built_ftm3_coastal_flood_rp100_2015,built_ftm3_coastal_flood_rp100_2020,built_ftm3_all_flood_rp10_cagr_2015_2020,built_ftm3_all_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_coastal_flood_rp10_cagr_2015_2020,built_ftm3_coastal_flood_rp100_cagr_2015_2020
AGO,Angola,1318971.92,1031.5071,1301.3281,0.047569633,8.742729187011719,10.352249145507812,47.76028060913086,55.787742614746094,5.5538206,6.972979,45.331352,53.23476,3.1970088481903076,3.388058662414551,3.3919360637664795,3.5967636108398438,0.03437386261183928,0.03155973934853984,0.04656279,0.032664657,0.011675928407607561,0.011795742582805469
BDI,Burundi,27211.54,309.3459,423.56915,0.06486857,1.2787574529647827,1.8139846324920654,8.621125221252441,10.978599548339844,1.2787575,1.8139846,8.621125,10.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.07243037,0.0495342,0.0,0.0
BEN,Benin,119446.19,670.8756,737.7873,0.019196272,3.1459274291992188,3.4290499687194824,21.108562469482422,22.914094924926758,2.2675648,2.5386586,20.20037,21.993301,0.8784856796264648,0.890562117099762,0.918294370174408,0.9312806129455566,0.017384279664008018,0.01655015276235461,0.022842884,0.017152786,0.002734381429161825,0.0028124752522677987
BFA,Burkina Faso,288193.0,969.2919,1254.6143,0.05295825,3.3759138584136963,4.198197364807129,40.95441818237305,51.03907775878906,3.3759139,4.1981974,40.95442,51.039078,0.0,0.0,0.0,0.0,0.0,0.0,0.04456222,0.04500997,0.0,0.0
BWA,Botswana,678331.43,455.8665,481.81702,0.011134386,1.1492431163787842,1.2643393278121948,11.819707870483398,12.638792991638184,1.1492431,1.2643393,11.819708,12.638793,0.0,0.0,0.0,0.0,0.0,0.0,0.019272566,0.013490677,0.0,0.0
CAF,Central African Republic,633070.44,192.92917,206.19069,0.013384461,2.4771926403045654,2.6553149223327637,11.925950050354004,12.72337532043457,2.4771926,2.655315,11.92595,12.723375,0.0,0.0,0.0,0.0,0.0,0.0,0.013984323,0.013028979,0.0,0.0
CIV,Côte d'Ivoire,329776.9,1137.7078,1272.3403,0.022620559,9.061946868896484,10.23116397857666,40.40909194946289,45.35429382324219,9.009836,10.174429,40.355453,45.29487,0.05213967338204384,0.056752897799015045,0.059850793331861496,0.06577321141958237,0.024567809338331692,0.023358647106731967,0.024610043,0.02336216,0.017100685548419703,0.019050783272404948
CMR,Cameroon,474652.63,1082.9913,1236.8746,0.026928306,13.88149642944336,16.433895111083984,64.75279235839844,73.60039520263672,13.197132,15.717273,64.12265,72.93996,0.7024202346801758,0.7356368899345398,0.7475048303604126,0.7819567322731018,0.03433410533463954,0.02594558993413254,0.035570145,0.026102662,0.009283787701154012,0.009052456310805201
COD,"Congo, Democratic Republic of",2364426.58,2311.143,2791.191,0.038466573,24.525279998779297,29.90336036682129,96.00467681884766,114.35783386230469,24.398756,29.77166,95.87345,114.22116,0.1295345276594162,0.13476189970970154,0.13511896133422852,0.140922412276268,0.04044997488159674,0.03560635327250106,0.04060781,0.035642028,0.007943795229659711,0.008446247139729968
COG,"Congo, Rep. of",344672.72,202.2738,242.38663,0.03684497,2.276698589324951,3.005892276763916,12.741389274597168,15.507670402526855,2.1011205,2.8188028,12.652839,15.409424,0.1761474758386612,0.18800266087055206,0.1864093840122223,0.1998279094696045,0.057142601813219285,0.04007810859545935,0.06052947,0.04020679,0.013112128062398698,0.013999345615658854
