ISO_A3,WB_NAME,surface_area_km2,worldpop_pop_2015,worldpop_pop_2020,worldpop_pop_cagr_2015_2020,pop_ftm3_all_flood_rp10_2015,pop_ftm3_all_flood_rp10_2020,pop_ftm3_all_flood_rp100_2015,pop_ftm3_all_flood_rp100_2020,pop_ftm3_fluvial_pluvial_flood_rp10_2015,pop_ftm3_fluvial_pluvial_flood_rp10_2020,pop_ftm3_fluvial_pluvial_flood_rp100_2015,pop_ftm3_fluvial_pluvial_flood_rp100_2020,pop_ftm3_coastal_flood_rp10_2015,pop_ftm3_coastal_flood_rp10_2020,pop_ftm3_coastal_flood_rp100_2015,pop_ftm3_coastal_flood_rp100_2020,pop_ftm3_all_flood_rp10_cagr_2015_2020,pop_ftm3_all_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_coastal_flood_rp10_cagr_2015_2020,pop_ftm3_coastal_flood_rp100_cagr_2015_2020
AGO,Angola,1318971.92,27655590,32920418,0.03546752441113932,278297.0,324617.0,1517245.0,1780414.0,204657,237358,1463023,1716176,73869.0,87526.0,79013.0,93595.0,0.03127038673238114,0.03250712468186112,0.030090671105733602,0.03243360982567278,0.03451066511095324,0.03445313331742028
BDI,Burundi,27211.54,10980263,12441309,0.02529931406436181,67260.0,74944.0,339390.0,388253.0,67260,74944,339390,388253,0.0,0.0,0.0,0.0,0.0,0.0,0.021870827927048975,0.027266571004510354,0.0,0.0
BEN,Benin,119446.19,11193712,12898336,0.028754887332102186,46461.0,52706.0,363728.0,416101.0,40686,45968,357810,409204,5778.0,6741.0,6103.0,7116.0,0.025544006668045016,0.027269526110544007,0.024712709471753636,0.0272058386571965,0.03131030647754507,0.03118957524498822
BFA,Burkina Faso,288193.0,18502094,21219332,0.02778473938128645,106906.0,118176.0,989868.0,1115249.0,106906,118176,989868,1115249,0.0,0.0,0.0,0.0,0.0,0.0,0.020247269503198773,0.024139016074683495,0.0,0.0
BWA,Botswana,678331.43,2187614,2348750,0.014315868354479289,9003.0,9660.0,90804.0,97131.0,9003,9660,90804,97131,0.0,0.0,0.0,0.0,0.0,0.0,0.01418685021230437,0.013562597880517835,0.0,0.0
CAF,Central African Republic,633070.44,4589877,4960549,0.015653897194576105,68207.0,73383.0,346278.0,373016.0,68207,73383,346278,373016,0.0,0.0,0.0,0.0,0.0,0.0,0.014736548279628892,0.014987075283290796,0.0,0.0
CIV,Côte d'Ivoire,329776.9,24880340,28557938,0.027955009011873422,219973.0,249791.0,1013648.0,1153016.0,219348,249077,1012988,1152260,626.0,716.0,731.0,837.0,0.025749896393213012,0.026099871479142944,0.025746371761541376,0.026098935448161553,0.027230102761576225,0.027452175878579288
CMR,Cameroon,474652.63,22417796,25857312,0.028959053126027312,355766.0,407128.0,1709425.0,1969139.0,341322,390376,1696528,1954143,14966.0,17357.0,16223.0,18803.0,0.027337890553373212,0.028691768158253694,0.027220707372556552,0.028677076438871296,0.030086711186520843,0.029957241866623185
COD,"Congo, Democratic Republic of",2364426.58,79711920,94412576,0.03443049596284786,1127973.0,1306470.0,4250250.0,4934833.0,1125233,1303163,4247430,4931436,2766.0,3335.0,2884.0,3478.0,0.029817215070275127,0.030318734695040428,0.029796131620999367,0.030313604076604994,0.03812280731578155,0.03816614992756362
COG,"Congo, Rep. of",344672.72,5035922,5683274,0.024481027267759803,52651.0,58853.0,322184.0,362116.0,50092,55968,321611,361468,2563.0,2891.0,2694.0,3038.0,0.022521377230404482,0.023643537715736906,0.022431646004462458,0.02364128270396937,0.024377184599305712,0.02432562090762813
COM,Comoros,1758.21,719110,794087,0.020033773629931195,4184.0,4610.0,30280.0,33244.0,1963,2150,27910,30619,2226.0,2466.0,2736.0,3029.0,0.0195812726989264,0.018852887383725703,0.01836539241081314,0.01869982899805467,0.020689347979801154,0.020555519964793323
CPV,Cabo Verde,4451.38,512346,514496,0.0008378713489154421,6231.0,6361.0,2459.0,2703.0,4414,4378,0,0,1845.0,2014.0,2459.0,2703.0,0.004138292006976574,0.019101646825697927,-0.0016365211832097826,0.0,0.01768323266052274,0.019101646825697927
ERI,Eritrea,130383.14,3095193,3262064,0.010557311471498299,22946.0,24055.0,155372.0,162716.0,17245,18060,149309,156342,5701.0,5995.0,6175.0,6493.0,0.009484545061092309,0.009279612762046918,0.009278238775160652,0.00924808798700072,0.010107578033984543,0.010093759974464156
ETH,Ethiopia,1165071.92,102478968,117298560,0.0273811364586094,852182.0,968676.0,3689150.0,4202030.0,852182,968676,3689150,4202030,0.0,0.0,0.0,0.0,0.025957183424329733,0.026376185957886378,0.025957183424329733,0.026376185957886378,0.0,0.0
GAB,Gabon,266515.47,2010530,2295414,0.026857297125091106,70115.0,78976.0,198503.0,224510.0,63555,71367,192345,217366,6647.0,7710.0,7134.0,8271.0,0.02408696680627953,0.024928861996252882,0.02345686535583469,0.02475994670654269,0.030115067996481004,0.03001840061282013
