ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_built_s_km2,ghsl_total_built_s_km2,relative_exposure_pct
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.6242085,460.33804,0.352829521
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,19.176167,460.33804,4.165670732
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.6209165,460.33804,0.134882727
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.9445516,510.9579,0.380569828
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,21.459871,510.9579,4.199929388
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.75306994,510.9579,0.147383951
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.3438148,577.6888,0.405722735
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,24.394638,577.6888,4.222799196
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.91284806,577.6888,0.158017268
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.798303,653.4685,0.42822309
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,27.775354,653.4685,4.250450328
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.0878795,653.4685,0.166477726
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.9563763,693.9563,0.426017647
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,29.461533,693.9563,4.245444994
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.1374648,693.9563,0.163910148
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.1792812,750.2391,0.423769062
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,31.679562,750.2391,4.222595437
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.2028667,750.2391,0.160331113
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.44203,805.36664,0.427386712
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,33.903942,805.36664,4.209752468
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.2935033,805.36664,0.160610489
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.8470976,885.8102,0.434302698
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,37.048935,885.8102,4.182491351
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.4352304,885.8102,0.162024596
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,4.4569583,1014.987,0.439114816
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,41.51193,1014.987,4.089897703
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.6507218,1014.987,0.162634773
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,5.682278,1284.7676,0.442280612
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,48.735043,1284.7676,3.793296391
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,2.1354513,1284.7676,0.166213041
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.363805063,192.3351467,0.189151629
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,4.1224525,192.3351467,2.143369307
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.138675375,192.3351467,0.072100902
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.487634563,227.166976,0.21465909
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,5.260726,227.166976,2.315796993
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.188839828,227.166976,0.083128204
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.654811438,273.8881991,0.239079829
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.799083,273.8881991,2.482430065
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.253041391,273.8881991,0.09238857
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.862263125,328.6085404,0.26239827
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.657864,328.6085404,2.6347045
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.329180031,328.6085404,0.100173912
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.942821438,364.055808,0.258977173
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,9.621494,364.055808,2.642862382
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.353916531,364.055808,0.097214911
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.051289125,409.2777813,0.256864451
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,10.84856,409.2777813,2.650659404
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.384538719,409.2777813,0.093955435
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.26876025,474.9239751,0.267150179
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,12.892599,474.9239751,2.714665857
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.450351781,474.9239751,0.094826078
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.583671,565.6257991,0.279985638
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,15.731236,565.6257991,2.781209065
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.542054063,565.6257991,0.095832627
