ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_pop_#,ghsl_total_pop_#,relative_exposure_pct
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,22295.758,7029828.0,0.3171593671993113
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,206848.28,7029828.0,2.9424372829605505
AGO,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,8591.492,7029828.0,0.12221482517068696
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,28183.97,8325558.0,0.338523495962673
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,271928.7,8325558.0,3.26619188767888
AGO,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,10880.259,8325558.0,0.1306850423719347
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,35547.13,9964699.0,0.3567305946722525
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,352311.2,9964699.0,3.5355929968381385
AGO,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,13802.385,9964699.0,0.13851281408500146
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,44933.438,11820387.0,0.3801350835636769
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,433402.56,11820387.0,3.6665682773330515
AGO,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,17806.51,11820387.0,0.15064236052508262
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,53252.766,13901542.0,0.38307092839053397
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,525677.06,13901542.0,3.7814298586444584
AGO,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,21124.824,13901542.0,0.15196029332573321
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,63935.977,16378420.0,0.3903671843804225
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,632678.1,16378420.0,3.862876272558647
AGO,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,25482.96,16378420.0,0.1555886343127115
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,77557.445,19428588.0,0.39919239113001936
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,757195.1,19428588.0,3.8973243963997795
AGO,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,31052.562,19428588.0,0.15982922691036527
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,91808.31,23324334.0,0.3936159977815444
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,934830.1,23324334.0,4.007960527404555
AGO,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,35617.594,23324334.0,0.15270572784629133
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,108227.09,28059032.0,0.38571213005494986
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,1146390.2,28059032.0,4.085637024114018
AGO,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,39897.88,28059032.0,0.14219264584751176
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,130169.51,33331982.0,0.39052436185762973
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,1316138.1,33331982.0,3.9485743752051707
AGO,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,47456.688,33331982.0,0.14237583591638805
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,6445.19384765625,3352183.5555555555,0.1922685241079554
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,61809.703125,3352183.5555555555,1.8438639203561247
BEN,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,2623.860107421875,3352183.5555555555,0.07827316326617514
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,7549.05224609375,3806617.777777778,0.19831390191480497
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,74350.8984375,3806617.777777778,1.9532010508526672
BEN,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,3160.16748046875,3806617.777777778,0.0830177250502305
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,9278.9521484375,4389897.777777778,0.21137057439944815
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,91730.1015625,4389897.777777778,2.0895726097962797
BEN,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,3864.177001953125,4389897.777777778,0.08802430483721242
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,11441.6416015625,5100853.333333333,0.2243083824189384
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,113576.59375,5100853.333333333,2.2266194757609186
BEN,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,4719.53955078125,5100853.333333333,0.0925245099665922
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,13477.3232421875,6009249.333333333,0.22427631962995323
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,136388.28125,6009249.333333333,2.2696392458447945
BEN,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,5521.6064453125,6009249.333333333,0.09188512805890953
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,15521.046875,6956204.0,0.22312524007346538
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,162261.8125,6956204.0,2.3326200971104356
BEN,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,6301.2431640625,6956204.0,0.09058450793079818
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,19262.33984375,8102272.0,0.2377399801407556
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,198338.109375,8102272.0,2.4479320044427046
BEN,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,7686.216796875,8102272.0,0.09486495635884602
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,23878.498046875,9393036.444444444,0.2542148983250038
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,241370.234375,9393036.444444444,2.5696720735897878
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,9340.638671875,9393036.444444444,0.0994421636402738
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,29248.841796875,10874084.444444444,0.2689775120499289
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,290868.53125,10874084.444444444,2.674878356297889
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,11178.54296875,10874084.444444444,0.10279985433128674
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,35253.4453125,12577629.333333334,0.28028688378557187
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,341684.40625,12577629.333333334,2.7166041961855663
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,13362.380859375,12577629.333333334,0.10623926421461564
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,976.0926,728149.75,0.13405107946545336
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,11310.736,728149.75,1.5533530019065447
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,453.15424,728149.75,0.06223366004039691
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,1342.24,938794.3,0.14297487745718096
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,16021.364,938794.3,1.7065893987639251
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,599.3677,938794.3,0.06384441192282485
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,1772.9082,1139073.1,0.1556448133135617
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,21400.38,1139073.1,1.8787538745318453
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,752.0932,1139073.1,0.06602677211848826
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,2280.5017,1341974.0,0.16993635495173526
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,27412.76,1341974.0,2.0427191584933837
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,921.6024,1341974.0,0.06867513081475497
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,2519.3867,1544221.5,0.16314930856745616
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,31960.38,1544221.5,2.069675885227605
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,1009.75464,1544221.5,0.0653892359353888
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,2760.6277,1727711.4,0.15978523380698884
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,36607.996,1727711.4,2.118872168117893
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,1089.6166,1727711.4,0.0630670492768642
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,3028.072,1893481.1,0.15992089913123506
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,39950.98,1893481.1,2.1099223013105335
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,1195.6936,1893481.1,0.0631479025589429
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,3385.3206,2092368.2,0.1617937320974387
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,44207.387,2092368.2,2.1127919550679466
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1307.3683,2092368.2,0.062482707393469276
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,3814.6472,2305905.8,0.16542944642404736
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,49116.082,2305905.8,2.130012509617696
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,1454.2875,2305905.8,0.06306794926314856
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,4380.136,2546991.8,0.17197291330109507
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,54949.957,2546991.8,2.157445383216389
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,1658.1245,2546991.8,0.06510128929351088
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,17477.1640625,6128056.0,0.285199157163381
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,226342.625,6128056.0,3.693546942129772
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,5239.41455078125,6128056.0,0.08549880338530277
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,20313.072265625,6920458.222222222,0.29352207055304336
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,267897.375,6920458.222222222,3.871093017218963
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,5892.09033203125,6920458.222222222,0.08514017631247611
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,23626.759765625,7964192.888888889,0.29666232467306863
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,321444.34375,7964192.888888889,4.036119519386047
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,6555.7294921875,7964192.888888889,0.08231505167753554
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,27972.44921875,9113149.333333334,0.30694602047652897
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,383739.4375,9113149.333333334,4.2108323200234326
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,7460.51953125,9113149.333333334,0.08186543705545919
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,30720.529296875,10332003.555555556,0.297333708139855
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,429267.75,10332003.555555556,4.154738697986424
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,8012.1875,10332003.555555556,0.07754727780452435
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,34324.26953125,11858228.444444444,0.28945528998752634
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,485636.09375,11858228.444444444,4.095351139718678
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,8525.91015625,11858228.444444444,0.07189868365408639
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,38883.5390625,13849726.222222222,0.2807531242033537
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,553203.375,13849726.222222222,3.994327152202993
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,9376.7578125,13849726.222222222,0.06770356079281022
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,43124.87890625,16087265.777777778,0.26806841822567984
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,625111.75,16087265.777777778,3.8857550974479524
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,10015.35546875,16087265.777777778,0.06225641825713329
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,48125.3125,18683761.777777776,0.2575782814638518
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,706306.5625,18683761.777777776,3.7803231003516213
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,10824.0673828125,18683761.777777776,0.05793301965392486
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,52821.19140625,21484819.55555556,0.2458535491520638
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,783116.75,21484819.55555556,3.6449770870777507
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,11506.2822265625,21484819.55555556,0.05355540546574987
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,13418.5263671875,3749004.888888889,0.3579223491267416
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,75331.5234375,3749004.888888889,2.009373838395457
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,4983.28466796875,3749004.888888889,0.13292286395085684
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,14993.9140625,4312649.777777778,0.34767288871358487
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,85765.9453125,4312649.777777778,1.988706473556809
BDI,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,5018.56884765625,4312649.777777778,0.11636856935418062
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,16823.47265625,4947930.222222222,0.3400103053331705
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,97514.8046875,4947930.222222222,1.9708201269601575
BDI,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,5226.28271484375,4947930.222222222,0.10562563496492709
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,18706.705078125,5483915.555555556,0.34111949552494325
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,108004.015625,5483915.555555556,1.969468977610077
BDI,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,5299.63330078125,5483915.555555556,0.09663958620610749
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,19234.2890625,5932770.222222222,0.3242041802066533
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,115174.46875,5932770.222222222,1.9413269760321075
BDI,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,5214.18359375,5932770.222222222,0.08788783988665816
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,19576.34375,6307592.888888889,0.3103615609765275
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,121692.640625,6307592.888888889,1.9293039796428064
BDI,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,4959.62548828125,6307592.888888889,0.07862944827999054
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,22244.216796875,7388913.333333333,0.3010485546842928
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,140708.078125,7388913.333333333,1.9043135543386172
BDI,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,5185.884765625,7388913.333333333,0.07018467441254331
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,27006.748046875,9126537.777777778,0.29591449358412536
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,172577.875,9126537.777777778,1.8909457145973818
BDI,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,5840.9072265625,9126537.777777778,0.06399915684110283
