ISO_A3,ghsl_year,ghsl_total_pop_#
AGO,1975,7029828.0
AGO,1980,8325558.0
AGO,1985,9964699.0
AGO,1990,11820387.0
AGO,1995,13901542.0
AGO,2000,16378420.0
AGO,2005,19428588.0
AGO,2010,23324334.0
AGO,2015,28059032.0
AGO,2020,33331982.0
BEN,1975,3352183.5555555555
BEN,1980,3806617.777777778
BEN,1985,4389897.777777778
BEN,1990,5100853.333333333
BEN,1995,6009249.333333333
BEN,2000,6956204.0
BEN,2005,8102272.0
BEN,2010,9393036.444444444
BEN,2015,10874084.444444444
BEN,2020,12577629.333333334
BWA,1975,728149.75
BWA,1980,938794.3
BWA,1985,1139073.1
BWA,1990,1341974.0
BWA,1995,1544221.5
BWA,2000,1727711.4
BWA,2005,1893481.1
BWA,2010,2092368.2
BWA,2015,2305905.8
BWA,2020,2546991.8
BFA,1975,6128056.0
BFA,1980,6920458.222222222
BFA,1985,7964192.888888889
BFA,1990,9113149.333333334
BFA,1995,10332003.555555556
BFA,2000,11858228.444444444
BFA,2005,13849726.222222222
BFA,2010,16087265.777777778
BFA,2015,18683761.777777776
BFA,2020,21484819.55555556
BDI,1975,3749004.888888889
BDI,1980,4312649.777777778
BDI,1985,4947930.222222222
BDI,1990,5483915.555555556
BDI,1995,5932770.222222222
BDI,2000,6307592.888888889
BDI,2005,7388913.333333333
BDI,2010,9126537.777777778
BDI,2015,10726988.444444444
BDI,2020,12219990.222222222
CPV,1975,303076.22222222225
CPV,1980,315752.9166666667
CPV,1985,338156.72222222225
CPV,1990,362484.6388888889
CPV,1995,409790.8888888889
CPV,2000,456572.02777777775
CPV,2005,490991.2222222223
CPV,2010,519225.7222222223
CPV,2015,550144.3333333334
CPV,2020,580483.9444444445
CMR,1975,7387680.888888889
CMR,1980,8508317.333333334
CMR,1985,9789854.222222222
CMR,1990,11411977.777777778
CMR,1995,13189872.0
CMR,2000,15067994.666666666
CMR,2005,17252780.444444444
CMR,2010,19859038.222222224
CMR,2015,22997418.666666668
CMR,2020,26479886.222222224
CAF,1975,2284830.5
CAF,1980,2416194.8
CAF,1985,2554106.2
CAF,1990,2810344.8
CAF,1995,3277202.2
CAF,2000,3758759.0
CAF,2005,4208518.5
CAF,2010,4659888.0
CAF,2015,4819562.0
CAF,2020,5343170.5
TCD,1975,4084865.8
TCD,1980,4409638.5
TCD,1985,4969506.0
TCD,1990,5829399.0
TCD,1995,6890415.5
TCD,2000,8259497.0
TCD,2005,10004430.0
TCD,2010,11893199.0
TCD,2015,14136996.0
TCD,2020,16639545.0
COM,1975,279899.0
COM,1980,328045.2
COM,1985,375199.84
COM,1990,430504.22
COM,1995,483025.88
COM,2000,535968.5
COM,2005,591825.6
COM,2010,654992.25
COM,2015,729084.75
COM,2020,804751.7
COD,1975,23068202.0
COD,1980,26726852.0
COD,1985,30817272.0
COD,1990,36007330.0
COD,1995,43302052.0
COD,2000,48641504.0
COD,2005,56583200.0
COD,2010,66426350.0
COD,2015,78703016.0
COD,2020,92908070.0
COG,1975,1625405.1
COG,1980,1830022.5
COG,1985,2063762.9
COG,1990,2386862.8
COG,1995,2744185.5
COG,2000,3136283.0
COG,2005,3674621.2
COG,2010,4439179.5
COG,2015,5065573.5
COG,2020,5703672.0
CIV,1975,6854487.5
CIV,1980,8304374.0
CIV,1985,9964459.0
CIV,1990,11910762.0
CIV,1995,14299791.0
CIV,2000,16799782.0
CIV,2005,18970168.0
CIV,2010,21120062.0
CIV,2015,23596840.0
CIV,2020,26811564.0
GNQ,1975,280056.22
GNQ,1980,279455.5
GNQ,1985,373977.38
GNQ,1990,460177.75
GNQ,1995,554527.3
GNQ,2000,678703.7
GNQ,2005,857455.2
GNQ,2010,1085668.6
GNQ,2015,1336586.9
GNQ,2020,1591096.0
ERI,1975,1450624.2
ERI,1980,1655229.6
ERI,1985,1893477.5
ERI,1990,2142175.2
ERI,1995,2154205.0
ERI,2000,2392063.0
ERI,2005,2826048.8
ERI,2010,3136130.2
ERI,2015,3324115.0
ERI,2020,3530563.0
SWZ,1975,510487.78
SWZ,1980,599580.9
SWZ,1985,703495.2
SWZ,1990,855441.94
SWZ,1995,955056.44
SWZ,2000,1032117.25
SWZ,2005,1073500.1
SWZ,2010,1101610.9
SWZ,2015,1135742.1
SWZ,2020,1182503.1
ETH,1975,32222720.0
ETH,1980,34919570.0
ETH,1985,40258776.0
ETH,1990,47843630.0
ETH,1995,57412956.0
ETH,2000,66939200.0
ETH,2005,77365450.0
ETH,2010,89122590.0
ETH,2015,102336090.0
ETH,2020,117023816.0
GAB,1975,662145.9
GAB,1980,746265.75
GAB,1985,852660.2
GAB,1990,977385.3
GAB,1995,1115627.4
GAB,2000,1265956.9
GAB,2005,1450796.5
GAB,2010,1702742.0
GAB,2015,2018638.2
GAB,2020,2281174.5
GMB,1975,610274.56
GMB,1980,715923.25
GMB,1985,853211.06
GMB,1990,1037706.75
GMB,1995,1239014.0
GMB,2000,1434004.6
GMB,2005,1656566.8
GMB,2010,1932889.1
GMB,2015,2248156.2
GMB,2020,2568697.0
GHA,1975,10207764.0
GHA,1980,11861714.0
GHA,1985,13646148.0
GHA,1990,15440188.0
GHA,1995,17429774.0
GHA,2000,19653818.0
GHA,2005,22481404.0
GHA,2010,25555076.0
GHA,2015,28848548.0
GHA,2020,32156530.0
GIN,1975,4587430.0
GIN,1980,4971883.5
GIN,1985,5530539.5
