Country Code,Year,Indicator,Value
AFE,2000,At least basic,0.41052469140277326
AFE,2000,Limited (shared),0.23104545897799872
AFE,2000,Open defecation,0.08446017575978322
AFE,2000,Unimproved,0.2739696738594446
AFE,2001,At least basic,0.4108329921667958
AFE,2001,Limited (shared),0.23356139009014987
AFE,2001,Open defecation,0.08310255198002539
AFE,2001,Unimproved,0.27250306576302896
AFE,2002,At least basic,0.4114126371831555
AFE,2002,Limited (shared),0.23607172075897565
AFE,2002,Open defecation,0.08167830269426472
AFE,2002,Unimproved,0.2708373393636042
AFE,2003,At least basic,0.4122778836566432
AFE,2003,Limited (shared),0.23872417363618265
AFE,2003,Open defecation,0.07995865289997892
AFE,2003,Unimproved,0.2690392898071953
AFE,2004,At least basic,0.4134077274506584
AFE,2004,Limited (shared),0.24113643481825595
AFE,2004,Open defecation,0.07821070059596547
AFE,2004,Unimproved,0.26724513713512044
AFE,2005,At least basic,0.4153875471350866
AFE,2005,Limited (shared),0.24440251255469506
AFE,2005,Open defecation,0.07586340336248766
AFE,2005,Unimproved,0.2643465369477305
AFE,2006,At least basic,0.4176815069094416
AFE,2006,Limited (shared),0.24735037416007888
AFE,2006,Open defecation,0.07346507658652428
AFE,2006,Unimproved,0.2615030423439552
AFE,2007,At least basic,0.42016710397412876
AFE,2007,Limited (shared),0.2499594540042602
AFE,2007,Open defecation,0.07104345023336134
AFE,2007,Unimproved,0.2588299917882498
AFE,2008,At least basic,0.4228069825545072
AFE,2008,Limited (shared),0.25249957474631207
AFE,2008,Open defecation,0.06880337492600871
AFE,2008,Unimproved,0.25589006777317175
AFE,2009,At least basic,0.42559039499210893
AFE,2009,Limited (shared),0.25498469515439415
AFE,2009,Open defecation,0.06653593690506782
AFE,2009,Unimproved,0.25288897294842905
AFE,2010,At least basic,0.4284192524120558
AFE,2010,Limited (shared),0.2574696817279123
AFE,2010,Open defecation,0.064223496822313
AFE,2010,Unimproved,0.24988756903771886
AFE,2011,At least basic,0.4287844607552448
AFE,2011,Limited (shared),0.25874409551765803
AFE,2011,Open defecation,0.06533053652361795
AFE,2011,Unimproved,0.24714090720347937
AFE,2012,At least basic,0.4318630889254223
AFE,2012,Limited (shared),0.26111741104698233
AFE,2012,Open defecation,0.06280733961633249
AFE,2012,Unimproved,0.24421216041126292
AFE,2013,At least basic,0.43524037416891986
AFE,2013,Limited (shared),0.26342856672666015
AFE,2013,Open defecation,0.06027381852916563
AFE,2013,Unimproved,0.24105724057525435
AFE,2014,At least basic,0.4388225514752516
AFE,2014,Limited (shared),0.2656857449739446
AFE,2014,Open defecation,0.05764098468919851
AFE,2014,Unimproved,0.2378507188616053
AFE,2015,At least basic,0.4427557486259512
AFE,2015,Limited (shared),0.26782736605289426
AFE,2015,Open defecation,0.05494049682385949
AFE,2015,Unimproved,0.2344763884972949
AFE,2016,At least basic,0.4461243110052677
AFE,2016,Limited (shared),0.2701062367015443
AFE,2016,Open defecation,0.05228436083424874
AFE,2016,Unimproved,0.231485091458939
AFE,2017,At least basic,0.4507497806602144
AFE,2017,Limited (shared),0.2726615621746524
AFE,2017,Open defecation,0.048067076073313154
AFE,2017,Unimproved,0.22852158109182005
AFE,2018,At least basic,0.45479457536172796
AFE,2018,Limited (shared),0.2746650829177794
AFE,2018,Open defecation,0.04543889934126694
AFE,2018,Unimproved,0.22510144237922577
AFE,2019,At least basic,0.45832152208843224
AFE,2019,Limited (shared),0.27638570219128594
AFE,2019,Open defecation,0.043240433164061266
AFE,2019,Unimproved,0.22205234255622056
AFE,2020,At least basic,0.46184618319085907
AFE,2020,Limited (shared),0.27810059837255763
AFE,2020,Open defecation,0.041021639605574214
AFE,2020,Unimproved,0.21903157883100918
AFE,2021,At least basic,0.46563399388851834
AFE,2021,Limited (shared),0.2795734844347345
AFE,2021,Open defecation,0.03866806731289474
AFE,2021,Unimproved,0.21612445436385241
AFE,2022,At least basic,0.46972831147056354
AFE,2022,Limited (shared),0.28070721726311126
AFE,2022,Open defecation,0.03630998309740684
AFE,2022,Unimproved,0.21325448816891854
AFE,2023,At least basic,0.45843384141463234
AFE,2023,Limited (shared),0.283326062599298
AFE,2023,Open defecation,0.030636713349156533
AFE,2023,Unimproved,0.22760338263691327
AFE,2024,At least basic,0.46207929053445657
AFE,2024,Limited (shared),0.284881453919385
AFE,2024,Open defecation,0.028274724388310548
AFE,2024,Unimproved,0.22476453115784795
AFW,2000,At least basic,0.30397693247603114
AFW,2000,Limited (shared),0.3882012222911476
AFW,2000,Open defecation,0.1095392328011888
AFW,2000,Unimproved,0.1982826124316323
AFW,2001,At least basic,0.30671057797273676
AFW,2001,Limited (shared),0.39127511068325044
AFW,2001,Open defecation,0.10778126670903332
AFW,2001,Unimproved,0.19423304463497967
AFW,2002,At least basic,0.3153064367280571
AFW,2002,Limited (shared),0.3889006932524578
AFW,2002,Open defecation,0.10596187927640126
AFW,2002,Unimproved,0.18983099074308368
AFW,2003,At least basic,0.3243015839769133
AFW,2003,Limited (shared),0.3860909162949777
AFW,2003,Open defecation,0.10410133695708038
AFW,2003,Unimproved,0.18550616277102872
AFW,2004,At least basic,0.33362705464886916
