Country Code,Year,Indicator,Value
AFE,2000,At least basic,0.7843496108797499
AFE,2000,Limited (more than 30 mins),0.08919209249724454
AFE,2000,Surface water,0.031015777826239665
AFE,2000,Unimproved,0.09544251879676585
AFE,2001,At least basic,0.7837769267860218
AFE,2001,Limited (more than 30 mins),0.0912192074390372
AFE,2001,Surface water,0.03069194470223278
AFE,2001,Unimproved,0.09431192107270822
AFE,2002,At least basic,0.7838342489238347
AFE,2002,Limited (more than 30 mins),0.0931946450442362
AFE,2002,Surface water,0.0302632736776465
AFE,2002,Unimproved,0.09270783235428258
AFE,2003,At least basic,0.7847618967338784
AFE,2003,Limited (more than 30 mins),0.0945304732985872
AFE,2003,Surface water,0.029550538619655467
AFE,2003,Unimproved,0.09115709134787883
AFE,2004,At least basic,0.7856875575432156
AFE,2004,Limited (more than 30 mins),0.09588982443880587
AFE,2004,Surface water,0.028826888711076564
AFE,2004,Unimproved,0.0895957293069021
AFE,2005,At least basic,0.7871144670918782
AFE,2005,Limited (more than 30 mins),0.09725888638387853
AFE,2005,Surface water,0.028066177162363246
AFE,2005,Unimproved,0.08756046936188003
AFE,2006,At least basic,0.7887213760015612
AFE,2006,Limited (more than 30 mins),0.09851314607441358
AFE,2006,Surface water,0.027260552290728896
AFE,2006,Unimproved,0.08550492563329623
AFE,2007,At least basic,0.7906722226093361
AFE,2007,Limited (more than 30 mins),0.09968369558733425
AFE,2007,Surface water,0.026464497735164322
AFE,2007,Unimproved,0.0831795840681653
AFE,2008,At least basic,0.7923110328295977
AFE,2008,Limited (more than 30 mins),0.10096465633744571
AFE,2008,Surface water,0.02561843527290789
AFE,2008,Unimproved,0.0811058755600485
AFE,2009,At least basic,0.7939987842781028
AFE,2009,Limited (more than 30 mins),0.10224655425830552
AFE,2009,Surface water,0.024755669418181428
AFE,2009,Unimproved,0.07899899204541017
AFE,2010,At least basic,0.7957359193686965
AFE,2010,Limited (more than 30 mins),0.10350773506739856
AFE,2010,Surface water,0.023876152817642535
AFE,2010,Unimproved,0.07688019274626262
AFE,2011,At least basic,0.79483114051614
AFE,2011,Limited (more than 30 mins),0.10606402175874702
AFE,2011,Surface water,0.024114055141600026
AFE,2011,Unimproved,0.07499078258351306
AFE,2012,At least basic,0.7968471083360288
AFE,2012,Limited (more than 30 mins),0.10726815113599128
AFE,2012,Surface water,0.023123676838341406
AFE,2012,Unimproved,0.0727610636896386
AFE,2013,At least basic,0.7988915706309331
AFE,2013,Limited (more than 30 mins),0.10846576210921244
AFE,2013,Surface water,0.022090668939216556
AFE,2013,Unimproved,0.07055199832063795
AFE,2014,At least basic,0.8010102125954481
AFE,2014,Limited (more than 30 mins),0.10966496779576974
AFE,2014,Surface water,0.021007569648741748
AFE,2014,Unimproved,0.06831724996004042
AFE,2015,At least basic,0.8030426593988932
AFE,2015,Limited (more than 30 mins),0.11106725041536616
AFE,2015,Surface water,0.01988681183311138
AFE,2015,Unimproved,0.0660032783526293
AFE,2016,At least basic,0.8047133769862214
AFE,2016,Limited (more than 30 mins),0.11270763971264808
AFE,2016,Surface water,0.018784323307135063
AFE,2016,Unimproved,0.06379465999399529
AFE,2017,At least basic,0.8058263360475983
AFE,2017,Limited (more than 30 mins),0.11470096862868583
AFE,2017,Surface water,0.017734891816037674
AFE,2017,Unimproved,0.06173780350767804
AFE,2018,At least basic,0.807828252054176
AFE,2018,Limited (more than 30 mins),0.11624473009778889
AFE,2018,Surface water,0.01660572053410045
AFE,2018,Unimproved,0.05932129731393469
AFE,2019,At least basic,0.808953250968193
AFE,2019,Limited (more than 30 mins),0.11867462866135857
AFE,2019,Surface water,0.015508458054193826
AFE,2019,Unimproved,0.056863662316254504
AFE,2020,At least basic,0.8100790652460877
AFE,2020,Limited (more than 30 mins),0.12113446220241549
AFE,2020,Surface water,0.014401081104853965
AFE,2020,Unimproved,0.0543853914466428
AFE,2021,At least basic,0.8112063757212753
AFE,2021,Limited (more than 30 mins),0.12363291281963637
AFE,2021,Surface water,0.013523753900039261
AFE,2021,Unimproved,0.051636957559048985
AFE,2022,At least basic,0.8123248709518627
AFE,2022,Limited (more than 30 mins),0.12617567339301702
AFE,2022,Surface water,0.012649014913638148
AFE,2022,Unimproved,0.04885044074148225
AFE,2023,At least basic,0.814432168714473
AFE,2023,Limited (more than 30 mins),0.12679857148102064
AFE,2023,Surface water,0.011857823358548118
AFE,2023,Unimproved,0.046911436445958236
AFE,2024,At least basic,0.8165365653930933
AFE,2024,Limited (more than 30 mins),0.1272414283279008
AFE,2024,Surface water,0.01106197205374238
AFE,2024,Unimproved,0.045160034225263435
AFW,2000,At least basic,0.7593438805200392
AFW,2000,Limited (more than 30 mins),0.09534812121821959
AFW,2000,Surface water,0.03769686709293994
AFW,2000,Unimproved,0.10761113116880114
AFW,2001,At least basic,0.7621122563485166
AFW,2001,Limited (more than 30 mins),0.0966718605736259
AFW,2001,Surface water,0.03759308934276682
AFW,2001,Unimproved,0.10362279373509102
AFW,2002,At least basic,0.767699024544245
AFW,2002,Limited (more than 30 mins),0.09525228133041438
AFW,2002,Surface water,0.036327358593013295
AFW,2002,Unimproved,0.10072133553232716
AFW,2003,At least basic,0.7734237951605406
AFW,2003,Limited (more than 30 mins),0.09374820063701855
AFW,2003,Surface water,0.03502006516219965
AFW,2003,Unimproved,0.09780793904024124
AFW,2004,At least basic,0.7792042118240262
AFW,2004,Limited (more than 30 mins),0.09223738097898221
AFW,2004,Surface water,0.03368734884263533
AFW,2004,Unimproved,0.09487105835435637
AFW,2005,At least basic,0.7850288193958982
AFW,2005,Limited (more than 30 mins),0.09072815272002051
AFW,2005,Surface water,0.03233306559475492
AFW,2005,Unimproved,0.09190996228932641
AFW,2006,At least basic,0.7909569073551836
AFW,2006,Limited (more than 30 mins),0.08916384038133726
AFW,2006,Surface water,0.03095994029567063
AFW,2006,Unimproved,0.08891931196780856
AFW,2007,At least basic,0.796982176489472
AFW,2007,Limited (more than 30 mins),0.08752963944677049
AFW,2007,Surface water,0.02957880985065446
AFW,2007,Unimproved,0.08590937421310334
AFW,2008,At least basic,0.8030872772856479
AFW,2008,Limited (more than 30 mins),0.08582953883704934
AFW,2008,Surface water,0.028192201265398908
AFW,2008,Unimproved,0.08289098261190397
AFW,2009,At least basic,0.8093341535773437
AFW,2009,Limited (more than 30 mins),0.08403523389758966
AFW,2009,Surface water,0.026796909459417005
AFW,2009,Unimproved,0.07983370306564969
AFW,2010,At least basic,0.8156900553699448
AFW,2010,Limited (more than 30 mins),0.08216554550762005
AFW,2010,Surface water,0.025388135831872067
AFW,2010,Unimproved,0.07675626329056304
AFW,2011,At least basic,0.8222424976481159
AFW,2011,Limited (more than 30 mins),0.08011061296634489
AFW,2011,Surface water,0.023960668111885214
AFW,2011,Unimproved,0.07368622127365401
AFW,2012,At least basic,0.8289021224495707
AFW,2012,Limited (more than 30 mins),0.0779817149868685
AFW,2012,Surface water,0.02252163952124778
AFW,2012,Unimproved,0.07059452304231296
AFW,2013,At least basic,0.8356758405057924
AFW,2013,Limited (more than 30 mins),0.07577535674324262
AFW,2013,Surface water,0.021068785480659016
AFW,2013,Unimproved,0.06748001727030611
AFW,2014,At least basic,0.842528294273904
AFW,2014,Limited (more than 30 mins),0.07346606733375508
AFW,2014,Surface water,0.019631882937953694
AFW,2014,Unimproved,0.06437375545438723
AFW,2015,At least basic,0.8494553946452629
AFW,2015,Limited (more than 30 mins),0.0711032205913865
AFW,2015,Surface water,0.018179794516295384
AFW,2015,Unimproved,0.06126159024705538
AFW,2016,At least basic,0.8563979956592878
AFW,2016,Limited (more than 30 mins),0.06872415725029568
AFW,2016,Surface water,0.01671857004490458
AFW,2016,Unimproved,0.05815927704551191
AFW,2017,At least basic,0.8633923968719208
AFW,2017,Limited (more than 30 mins),0.06629875061268728
AFW,2017,Surface water,0.015259895132934001
AFW,2017,Unimproved,0.05504895738245779
