ISO3,year,population,built_up_km2,population_density
AFE,1975,91180491.01334734,4485.790558111111,20326.515434046898
AFE,1980,112369413.66491638,5263.463839222222,21348.94759370497
AFE,1985,132297302.31388022,6086.50372911111,21736.173705294234
AFE,1990,154868379.0918985,7064.824146999999,21921.052225717704
AFE,1995,180860400.83555338,7863.825994333334,22999.033926473097
AFE,2000,208210669.68182647,8904.118462333332,23383.636523099973
AFE,2005,237585045.88145977,9771.455891222222,24314.19110174609
AFE,2010,270921122.2333395,11012.361267444447,24601.546902956812
AFE,2015,306315324.64319384,12597.594535777778,24315.382097212565
AFE,2020,336797455.51017594,14477.549338777777,23263.42999281459
AFW,1975,79603001.36501877,3718.950399222222,21404.695631774724
AFW,1980,91529611.33263668,4145.840944444444,22077.45365998404
AFW,1985,104672799.36537422,4724.448618,22155.558844808715
AFW,1990,119512500.65458004,5397.400303333334,22142.60457590506
AFW,1995,137391802.77544767,5913.229064555555,23234.64916977205
AFW,2000,158050017.28606537,6544.295240555555,24150.807913832487
AFW,2005,181995885.42044532,7372.2484211111105,24686.618657516123
AFW,2010,208456378.9827058,8499.339732222223,24526.185039105756
AFW,2015,237290191.80899048,9727.819679555556,24392.94719943162
AFW,2020,266008785.67007595,10431.422040111114,25500.721248475387
AGO,1975,3952920.2022026908,334.1201533333333,11830.834395251459
AGO,1980,4819031.426988389,360.1980366666666,13378.838684365188
AGO,1985,5913770.65226237,395.2687454444444,14961.392015988675
AGO,1990,7114671.206081814,435.18178466666666,16348.733923988551
AGO,1995,8540007.456542969,459.59796222222224,18581.47371944559
AGO,2000,10154103.66655816,490.46759999999995,20702.90405840908
AGO,2005,12165911.047743056,515.0104263333333,23622.65000023289
AGO,2010,15289729.306640625,546.7709722222222,27963.68147434585
AGO,2015,19304199.536892362,595.9056446666667,32394.725087208397
AGO,2020,23278431.625651043,695.4151954444444,33474.14864982012
BDI,1975,1978981.535912196,39.75127388888889,49784.103559643474
BDI,1980,2408838.436230554,47.09033233333333,51153.56628148991
BDI,1985,2881708.672572242,58.814990222222214,48996.16002118179
BDI,1990,3280344.681441413,73.80352066666666,44446.99455811977
BDI,1995,3610170.347308689,84.90224955555554,42521.492259711966
BDI,2000,3890140.4381506178,100.54963466666666,38688.75755786553
BDI,2005,4599119.2472873265,116.70183899999999,39409.14116432498
BDI,2010,5670086.769639757,142.6175648888889,39757.28216967688
BDI,2015,6571959.65093316,179.06806455555554,36700.90290663873
BDI,2020,7249824.9410807295,229.62709255555555,31572.16711841927
BEN,1975,2263039.868177626,140.32218133333333,16127.456448256082
BEN,1980,2569126.4477267796,158.53620522222224,16205.297989349512
BEN,1985,2927196.302842882,182.79145366666668,16013.857563498752
BEN,1990,3364959.7671169704,211.15731277777778,15935.79555853819
BEN,1995,3972275.7456054688,231.4395272222222,17163.341946301993
BEN,2000,4602708.610677083,256.0548043333333,17975.48232949871
BEN,2005,5328778.383409288,293.71329344444445,18142.789251781756
BEN,2010,6125060.2416449655,344.5383961111111,17777.58389421909
BEN,2015,7024068.510199653,398.0644163333333,17645.557407265966
BEN,2020,7975030.8080512155,416.688824,19139.056170249518
BFA,1975,1582497.1213565404,91.33597988888889,17326.108761100102
BFA,1980,1948607.8720228407,106.12253688888889,18361.866660453547
BFA,1985,2435779.0717637804,127.53887111111112,19098.327047616283
BFA,1990,2845729.1346842446,151.27994166666664,18811.014225234056
BFA,1995,3415954.8213975695,178.5697551111111,19129.526269843773
BFA,2000,4156966.8157552085,210.30736666666667,19766.14933486341
BFA,2005,5086272.454861111,249.09944988888887,20418.641860228312
BFA,2010,6027593.688368056,297.6633923333333,20249.69762361022
BFA,2015,7005536.040364583,347.954351,20133.491707263012
BFA,2020,7942870.258463541,379.47487233333334,20931.21531242382
BWA,1975,436086.1093885634,103.00943288888888,4233.458016014394
BWA,1980,565346.2457546658,112.58226555555555,5021.62789996162
BWA,1985,687155.7116970486,124.70837333333334,5510.1008322861235
BWA,1990,811689.9889865451,137.877552,5887.035106240826
