Country Code,Year,Value
MUS,1990,100.0
NGA,1990,82.4
SDN,1990,66.1
ZMB,1990,34.7
BWA,1991,17.5
CMR,1991,63.0
MUS,1991,100.0
NGA,1991,83.7839584350586
SDN,1991,63.8322257995605
UGA,1991,33.6
ZMB,1991,35.1093902587891
BWA,1992,18.3537273406982
CMR,1992,70.0741653442383
MDG,1992,46.9
MUS,1992,100.0
MWI,1992,19.8
NAM,1992,66.0
NER,1992,26.7
NGA,1992,83.8470993041992
RWA,1992,31.1
SDN,1992,64.1226501464844
TZA,1992,23.9
UGA,1992,32.1088714599609
ZMB,1992,39.2
ZWE,1992,85.4796600341797
AFW,1993,76.36926454775221
BFA,1993,29.4
BWA,1993,20.9881744384766
CMR,1993,70.9762649536133
GHA,1993,74.6
GMB,1993,38.8783531188965
KEN,1993,42.5
MDG,1993,39.9817047119141
MUS,1993,100.0
MWI,1993,19.0226917266846
NAM,1993,71.0
NER,1993,31.8083744049072
NGA,1993,83.9070816040039
RWA,1993,18.0791263580322
SDN,1993,64.4099349975586
SEN,1993,58.6
TZA,1993,22.2905502319336
UGA,1993,33.2691764831543
ZMB,1993,37.5866508483887
ZWE,1993,85.5194854736328
AFW,1994,76.40155029216605
BFA,1994,33.4402618408203
BWA,1994,23.616304397583
CIV,1994,69.7
CMR,1994,71.8720397949219
GHA,1994,74.6652145385742
GMB,1994,40.4431953430176
KEN,1994,39.2203407287598
MDG,1994,41.1489906311035
MUS,1994,100.0
MWI,1994,20.176736831665
NAM,1994,70.6857604980469
NER,1994,33.0251121520996
NGA,1994,83.9607467651367
RWA,1994,20.3961029052734
SDN,1994,64.6909255981445
SEN,1994,65.7216644287109
SYC,1994,98.8616714477539
TZA,1994,23.8663482666016
UGA,1994,34.4231605529785
ZMB,1994,38.8173828125
ZWE,1994,80.4
AFW,1995,76.21066259549222
BFA,1995,34.6333847045898
BWA,1995,26.234956741333
CAF,1995,8.0
CIV,1995,78.3763961791992
CMR,1995,72.7583389282227
ERI,1995,80.6
GHA,1995,75.3336563110352
GMB,1995,41.9985618591309
KEN,1995,41.0309638977051
MDG,1995,42.3068008422852
MUS,1995,100.0
MWI,1995,21.3213043212891
NAM,1995,70.8737335205078
NER,1995,34.2323722839355
NGA,1995,84.0049285888672
RWA,1995,22.7036018371582
SDN,1995,64.9624786376953
SEN,1995,66.8891525268555
SYC,1995,98.9373321533203
TZA,1995,25.4326667785645
UGA,1995,40.2
ZMB,1995,40.0386352539063
ZWE,1995,85.577018737793
AFW,1996,73.0971960826453
BEN,1996,34.4
BFA,1996,35.8138656616211
BWA,1996,28.840970993042
CAF,1996,9.1618595123291
CIV,1996,79.044189453125
CMR,1996,73.6319961547852
COM,1996,51.8
ERI,1996,79.9806365966797
GHA,1996,75.9894561767578
GMB,1996,43.5412864685059
KEN,1996,42.8289489746094
MDG,1996,43.451976776123
MLI,1996,21.5
MUS,1996,100.0
MWI,1996,22.4532318115234
NAM,1996,71.0490646362305
NER,1996,35.4269943237305
NGA,1996,84.0364761352539
RWA,1996,24.998462677002
SDN,1996,65.2214584350586
SEN,1996,68.0439987182617
SSA,1996,68.94068567659302
SYC,1996,99.0003433227539
TZA,1996,35.5
UGA,1996,36.699535369873
ZAF,1996,85.2983245849609
ZMB,1996,44.1
ZWE,1996,85.5884094238281
AFW,1997,72.49861335112116
BEN,1997,44.7813873291016
BFA,1997,36.9785537719727
BWA,1997,31.431188583374
CAF,1997,10.1394186019897
CIV,1997,79.6961898803711
CMR,1997,74.489860534668
COM,1997,59.0517616271973
ERI,1997,79.797737121582
GHA,1997,76.6294631958008
GMB,1997,45.0682182312012
KEN,1997,44.6111373901367
MDG,1997,38.1
MLI,1997,24.6865520477295
MOZ,1997,25.8
MUS,1997,100.0
MWI,1997,23.5693645477295
NAM,1997,71.2086029052734
NER,1997,36.6058197021484
NGA,1997,84.0522232055664
RWA,1997,27.2775268554688
SDN,1997,65.4646987915039
SEN,1997,68.9
SSA,1997,66.78780100465428
SYC,1997,99.0475692749023
TCD,1997,9.4
TZA,1997,28.5242328643799
UGA,1997,37.8156089782715
ZAF,1997,85.4151077270508
ZMB,1997,42.440071105957
ZWE,1997,85.5840072631836
AFW,1998,73.09920172809166
BDI,1998,60.6
BEN,1998,45.7014350891113
BFA,1998,38.1242828369141
BWA,1998,34.0024490356445
CAF,1998,11.0980224609375
CIV,1998,80.329231262207
CMR,1998,79.0
COM,1998,60.8158149719238
ERI,1998,79.5958786010742
GHA,1998,82.4
GMB,1998,46.5761909484863
KEN,1998,47.5
MDG,1998,45.6917724609375
MLI,1998,27.6966228485107
MOZ,1998,18.1166152954102
MUS,1998,100.0
MWI,1998,24.6665420532227
NAM,1998,71.3491744995117
NER,1998,36.5
NGA,1998,84.0490188598633
RWA,1998,29.5376358032227
SDN,1998,65.689079284668
SEN,1998,70.3031387329102
SSA,1998,67.19010541302696
SYC,1998,99.0758285522461
TCD,1998,7.74023675918579
TGO,1998,41.2
TZA,1998,30.0431613922119
UGA,1998,38.9127235412598
ZAF,1998,84.2
ZMB,1998,48.0
ZWE,1998,85.5606384277344
AFW,1999,72.8824194561972
BDI,1999,50.5398025512695
BEN,1999,46.6010475158691
BFA,1999,39.7
BWA,1999,36.5532760620117
CAF,1999,12.0361928939819
CIV,1999,85.9
CMR,1999,76.1472473144531
COM,1999,62.5594367980957
ERI,1999,79.3735885620117
GHA,1999,77.8511276245117
GIN,1999,53.8
GMB,1999,48.0637321472168
KEN,1999,48.1171684265137
MDG,1999,46.7817573547363
MLI,1999,30.68625831604
MOZ,1999,20.6718463897705
MUS,1999,99.9960632324219
MWI,1999,25.7432842254639
NAM,1999,71.4693222045898
NER,1999,38.9051246643066
NGA,1999,84.3
RWA,1999,31.7773094177246
SDN,1999,65.8931121826172
SEN,1999,72.8
SSA,1999,67.36591440508201
SYC,1999,99.0836639404297
TCD,1999,8.9199914932251
TGO,1999,42.9995880126953
TZA,1999,27.3
UGA,1999,39.9894065856934
ZAF,1999,85.5903244018555
ZMB,1999,44.7673645019531
ZWE,1999,87.4
AFE,2000,53.54408980930556
AFW,2000,71.51536748042516
AGO,2000,44.9
BDI,2000,49.6
BEN,2000,47.5
BFA,2000,40.4
BWA,2000,39.2
CAF,2000,15.6
CIV,2000,81.6
CMR,2000,79.0
COD,2000,20.0
COG,2000,46.2
COM,2000,64.4
CPV,2000,81.9
ERI,2000,79.2
ETH,2000,76.2
GAB,2000,90.2
GHA,2000,80.5
GIN,2000,55.9
GMB,2000,51.2
GNB,2000,23.8
GNQ,2000,94.5
KEN,2000,49.9
LSO,2000,13.6
MDG,2000,47.9
MLI,2000,33.8
MOZ,2000,23.3
MRT,2000,45.3
MUS,2000,100.0
MWI,2000,28.7
NAM,2000,73.2
NER,2000,40.7
NGA,2000,83.8
RWA,2000,38.9
SDN,2000,61.6
SEN,2000,74.6
SLE,2000,23.6
SOM,2000,20.5
SSA,2000,60.91669993405525
SSD,2000,8.1
STP,2000,64.1
SWZ,2000,54.8
SYC,2000,98.7
TCD,2000,10.1
TGO,2000,38.5
TZA,2000,32.7
UGA,2000,41.0
ZAF,2000,85.6
ZMB,2000,44.1
ZWE,2000,85.4
AFE,2001,53.14673316041117
AFW,2001,72.25518056362786
AGO,2001,30.0
BDI,2001,49.9
BEN,2001,49.6
BFA,2001,41.5
BWA,2001,37.0
CAF,2001,13.9
CIV,2001,82.1
CMR,2001,84.0
COD,2001,23.9
COG,2001,47.1
COM,2001,66.0
CPV,2001,82.5
ERI,2001,78.9
ETH,2001,79.3
GAB,2001,91.4
GHA,2001,78.9
GIN,2001,57.5
GMB,2001,51.1
GNB,2001,24.0
GNQ,2001,94.3
KEN,2001,51.6
LSO,2001,18.1
MDG,2001,42.1
MLI,2001,37.0
MOZ,2001,20.1
MRT,2001,49.7
MUS,2001,99.9
MWI,2001,27.8
NAM,2001,71.6
NER,2001,41.1
NGA,2001,83.8
RWA,2001,35.9
SDN,2001,61.6
SEN,2001,73.6
SLE,2001,25.0
SOM,2001,23.0
SSA,2001,60.92825328761518
SSD,2001,8.3
STP,2001,64.0
SWZ,2001,56.4
SYC,2001,98.7
TCD,2001,11.2
TGO,2001,47.9
TZA,2001,34.3
UGA,2001,43.9
ZAF,2001,85.7
ZMB,2001,47.0
ZWE,2001,85.3
AFE,2002,55.24831642113011
AFW,2002,72.31875300801671
AGO,2002,47.7
BDI,2002,50.2
BEN,2002,49.2
BFA,2002,42.6
BWA,2002,44.2
CAF,2002,14.8
CIV,2002,82.7
CMR,2002,78.5
COD,2002,25.4
COG,2002,48.0
COM,2002,74.6
CPV,2002,81.3
ERI,2002,78.3
ETH,2002,79.9
GAB,2002,91.7
GHA,2002,79.5
GIN,2002,59.0
GMB,2002,52.5
GNB,2002,24.3
GNQ,2002,94.0
KEN,2002,53.3
LSO,2002,21.2
MDG,2002,50.0
MLI,2002,39.7
MOZ,2002,28.3
MRT,2002,49.4
MUS,2002,100.0
MWI,2002,28.9
NAM,2002,71.7
NER,2002,42.3
NGA,2002,83.8
RWA,2002,38.2
SDN,2002,61.7
SEN,2002,74.2
SLE,2002,26.4
SOM,2002,22.2
SSA,2002,62.17089573358403
SSD,2002,8.4
STP,2002,64.6
SWZ,2002,58.0
SYC,2002,98.7
TCD,2002,12.4
TGO,2002,50.2
TZA,2002,35.9
UGA,2002,39.3
ZAF,2002,85.7
ZMB,2002,45.1
ZWE,2002,85.3
AFE,2003,56.24883652050159
AFW,2003,73.37024857839839
AGO,2003,49.0
BDI,2003,50.5
BEN,2003,50.1
BFA,2003,52.4
BWA,2003,46.7
CAF,2003,15.7
CIV,2003,83.3
CMR,2003,79.3
COD,2003,26.9
COG,2003,49.0
COM,2003,69.4
