Country Code,Year,Value
AFE,2000,53.22495776853575
AFW,2000,71.26488483334367
AGO,2000,19.7
BDI,2000,79.7
BEN,2000,71.86569
BFA,2000,82.21152
BWA,2000,58.69239
CAF,2000,85.96516
CIV,2000,67.07658
CMR,2000,65.3638
COG,2000,87.80583
COM,2000,64.49449
CPV,2000,70.86701
ECS,2000,5.122289560425511
ERI,2000,76.73784
ETH,2000,92.17158
GAB,2000,57.43
GHA,2000,60.36841
GIN,2000,40.66534
GMB,2000,56.92053
GNQ,2000,52.91641
KEN,2000,63.18451
LCN,2000,31.900803545486237
LSO,2000,62.72729
MDG,2000,91.43569
MEA,2000,51.03036998706634
MLI,2000,83.87627
MOZ,2000,90.09549
MRT,2000,84.69319
MUS,2000,76.73784
MWI,2000,81.41073
NAM,2000,42.55683
NER,2000,70.03805
NGA,2000,74.10729
RWA,2000,71.42051
SDN,2000,21.7636
SEN,2000,67.15485
SLE,2000,73.9
SOM,2000,76.73784
SSA,2000,60.48602966639964
SWZ,2000,55.35217
SYC,2000,76.73784
TCD,2000,91.58375
TGO,2000,69.27204
TZA,2000,81.32802
UGA,2000,80.90118
ZAF,2000,27.60971
ZMB,2000,63.78455
ZWE,2000,27.52175
AFE,2002,61.40680552523375
AFW,2002,69.02248845008191
AGO,2002,19.7
BDI,2002,79.7
BEN,2002,71.47241
BFA,2002,76.64539
BWA,2002,56.56976
CAF,2002,83.12315
CIV,2002,65.53594
CMR,2002,62.0946
COD,2002,71.91424
COG,2002,87.80583
COM,2002,65.08643
CPV,2002,68.62824
ECS,2002,4.940876185352878
ERI,2002,74.76156
ETH,2002,89.07633
GAB,2002,55.55895
GHA,2002,57.00822
GIN,2002,41.49952
GMB,2002,55.11779
GNQ,2002,60.09282
KEN,2002,61.63811
LBR,2002,75.48823
LCN,2002,30.24615363177378
LSO,2002,62.72729
MDG,2002,89.03413
MEA,2002,50.14479223485899
MLI,2002,79.68152
MOZ,2002,86.58183
MRT,2002,81.3166
MUS,2002,74.76156
MWI,2002,77.89671
NAM,2002,42.4078
NER,2002,70.09604
NGA,2002,71.59477
RWA,2002,67.93933
SDN,2002,99.1
SEN,2002,63.59985
SLE,2002,73.9
SOM,2002,74.76156
SSA,2002,63.69855255561926
SSD,2002,99.8
SWZ,2002,55.35217
SYC,2002,74.76156
TCD,2002,90.45647
TGO,2002,66.02873
TZA,2002,77.07039
UGA,2002,78.21228
ZAF,2002,27.22887
ZMB,2002,62.23191
ZWE,2002,26.92639
AFE,2004,60.302061888833904
AFW,2004,66.58591827104996
AGO,2004,19.66039
BDI,2004,77.04306
BEN,2004,71.07914
BFA,2004,71.07927
BWA,2004,54.44714
CAF,2004,80.28114
CIV,2004,63.9953
CMR,2004,58.8254
COD,2004,71.91424
COG,2004,84.68995
COM,2004,65.67836
CPV,2004,66.26286
ECS,2004,4.65028229743946
ERI,2004,72.35662
ETH,2004,85.98109
GAB,2004,53.6879
GHA,2004,53.64802
GIN,2004,42.3337
GMB,2004,53.31504
GNQ,2004,58.82956
KEN,2004,60.09171
LBR,2004,75.48823
LCN,2004,28.178162134098525
LSO,2004,58.59683
MDG,2004,86.63257
MEA,2004,48.383258090120805
MLI,2004,75.48678
MOZ,2004,83.06817
MRT,2004,77.94
MUS,2004,72.35662
MWI,2004,74.38269
NAM,2004,42.25878
NER,2004,70.15403
NGA,2004,69.08224
RWA,2004,64.45814
SDN,2004,99.1
SEN,2004,60.04485
SLE,2004,72.5475
SOM,2004,72.35662
SSA,2004,62.07470902215261
SSD,2004,99.8
STP,2004,61.4
SWZ,2004,55.35217
SYC,2004,72.35662
TCD,2004,89.32919
TGO,2004,62.78541
TZA,2004,72.81275
UGA,2004,75.52337
ZAF,2004,26.84803
ZMB,2004,60.67926
ZWE,2004,26.33104
AFE,2006,59.736851663681406
AFW,2006,64.05889141724997
AGO,2006,25.79191
BDI,2006,71.68054
BEN,2006,70.68586
BFA,2006,65.51314
BWA,2006,52.32451
CAF,2006,77.43913
CIV,2006,62.45466
CMR,2006,55.55619
COD,2006,72.37482
COG,2006,78.45821
COM,2006,66.27029
CPV,2006,63.82988
ECS,2006,4.303326343432365
ERI,2006,69.89404
ETH,2006,82.88584
GAB,2006,51.81685
GHA,2006,50.28782
GIN,2006,43.16788
GMB,2006,51.5123
GNQ,2006,59.17237
KEN,2006,58.54531
LBR,2006,74.59566
LCN,2006,26.225422458237556
LSO,2006,54.46637
MDG,2006,84.23101
MEA,2006,44.65838953594088
MLI,2006,71.29204
MOZ,2006,79.55451
MRT,2006,74.5634
MUS,2006,69.89404
MWI,2006,70.86866
NAM,2006,42.10975
NER,2006,70.21202
NGA,2006,66.56972
RWA,2006,60.97695
SDN,2006,99.08834
SEN,2006,56.48985
SLE,2006,69.80989
SOM,2006,69.89404
SSA,2006,60.70034700492005
SSD,2006,99.8
STP,2006,61.4
SWZ,2006,47.92817
SYC,2006,69.89404
TCD,2006,88.20191
TGO,2006,59.54209
TZA,2006,68.55511
UGA,2006,72.83447
ZAF,2006,26.46718
ZMB,2006,59.12662
ZWE,2006,25.73569
AFE,2008,58.90020920531299
AFW,2008,61.55816454295434
AGO,2008,31.92344
BDI,2008,66.31802
BEN,2008,70.29258
BFA,2008,59.94701
BWA,2008,50.20189
CAF,2008,74.59712
CIV,2008,60.91402
CMR,2008,52.28699
COD,2008,73.29596
COG,2008,72.22646
COM,2008,66.86223
CPV,2008,61.43036
ECS,2008,3.948489819184286
ERI,2008,67.40634
ETH,2008,79.7906
GAB,2008,49.9458
GHA,2008,46.92763
GIN,2008,44.00206
GMB,2008,49.70956
GNB,2008,75.2
GNQ,2008,59.85517
KEN,2008,56.99891
LBR,2008,72.81052
LCN,2008,23.420362444946736
LSO,2008,50.33592
MDG,2008,81.82945
MEA,2008,42.59006193589042
MLI,2008,67.09729
MOZ,2008,76.04086
MRT,2008,71.18681
MUS,2008,67.40634
MWI,2008,67.35464
NAM,2008,41.96073
NER,2008,70.27001
NGA,2008,64.0572
RWA,2008,57.49576
SDN,2008,94.00333
SEN,2008,52.93485
SLE,2008,67.07228
SOM,2008,67.40634
SSA,2008,59.1636456740406
SSD,2008,99.80584
STP,2008,60.3972
SWZ,2008,40.50418
SYC,2008,67.40634
TCD,2008,87.07463
TGO,2008,56.29878
TZA,2008,64.29748
UGA,2008,70.14557
ZAF,2008,26.08634
ZMB,2008,57.57398
ZWE,2008,25.14033
AFE,2010,58.081581395907214
AFW,2010,58.99301560294887
AGO,2010,38.05496
BDI,2010,60.9555
BEN,2010,69.89931
BFA,2010,54.38089
BWA,2010,48.07927
CAF,2010,71.75511
CIV,2010,59.37338
CMR,2010,49.01779
COD,2010,74.21711
COG,2010,65.99471
COM,2010,67.45416
CPV,2010,58.95417
ECS,2010,3.648318458191084
ERI,2010,64.81973
ETH,2010,76.69536
GAB,2010,48.07475
GHA,2010,43.56743
GIN,2010,44.83624
GMB,2010,47.90681
GNB,2010,75.2
GNQ,2010,60.60063
