Country Code,Year,Value
AFE,1976,19.540021613308976
AFW,1976,22.476171199262552
AGO,1976,20.092
BDI,1976,3.678
BEN,1976,23.079
BFA,1976,6.668
BWA,1976,12.705
CAF,1976,32.575
CIV,1976,33.594
CMR,1976,28.678
COD,1976,26.068
COG,1976,44.177
COM,1976,21.625
CPV,1976,21.812
ERI,1976,13.684
ETH,1976,9.644
GAB,1976,45.295
GHA,1976,30.27
GIN,1976,20.291
GMB,1976,25.193
GNB,1976,16.118
GNQ,1976,27.502
KEN,1976,13.503
LBR,1976,31.311
LSO,1976,11.213
MDG,1976,16.755
MLI,1976,16.651
MOZ,1976,11.297
MRT,1976,21.971
MUS,1976,43.224
MWI,1976,8.015
NAM,1976,23.929
NER,1976,12.021
NGA,1976,20.205
RWA,1976,4.182
SDN,1976,19.143
SEN,1976,34.372
SLE,1976,28.14
SOM,1976,25.748
SSA,1976,21.88682665635921
SSD,1976,8.565
STP,1976,32.004
SWZ,1976,15.037
SYC,1976,47.774
TCD,1976,16.47
TGO,1976,23.268
TZA,1976,11.937
UGA,1976,7.118
ZAF,1976,48.169
ZMB,1976,35.89
ZWE,1976,20.356
AFE,1977,19.87457507856362
AFW,1977,23.03991102801384
AGO,1977,21.088
BDI,1977,3.838
BEN,1977,24.293
BFA,1977,7.151
BWA,1977,13.572
CAF,1977,32.897
CIV,1977,34.983
CMR,1977,29.469
COD,1977,26.317
COG,1977,45.091
COM,1977,22.014
CPV,1977,22.209
ERI,1977,13.857
ETH,1977,9.83
GAB,1977,47.633
GHA,1977,30.492
GIN,1977,21.087
GMB,1977,25.974
GNB,1977,16.287
GNQ,1977,27.594
KEN,1977,14.112
LBR,1977,32.252
LSO,1977,11.272
MDG,1977,17.184
MLI,1977,17.083
MOZ,1977,11.739
MRT,1977,23.327
MUS,1977,43.005
MWI,1977,8.394
NAM,1977,24.21
NER,1977,12.648
NGA,1977,20.636
RWA,1977,4.374
SDN,1977,19.344
SEN,1977,34.718
SLE,1977,28.554
SOM,1977,25.999
SSA,1977,22.32828621442947
SSD,1977,8.553
STP,1977,32.37
SWZ,1977,15.474
SYC,1977,49.282
TCD,1977,17.413
TGO,1977,23.611
TZA,1977,12.773
UGA,1977,7.197
ZAF,1977,48.229
ZMB,1977,36.855
ZWE,1977,20.846
AFE,1978,20.22730414977848
AFW,1978,23.6047322338928
AGO,1978,22.122
BDI,1978,4.005
BEN,1978,25.552
BFA,1978,7.668
BWA,1978,14.489
CAF,1978,33.221
CIV,1978,36.4
CMR,1978,30.274
COD,1978,26.567
COG,1978,46.01
COM,1978,22.41
CPV,1978,22.612
ERI,1978,14.033
ETH,1978,10.02
GAB,1978,49.985
GHA,1978,30.714
GIN,1978,21.907
GMB,1978,26.772
GNB,1978,16.457
GNQ,1978,27.687
KEN,1978,14.745
LBR,1978,33.209
LSO,1978,11.331
MDG,1978,17.622
MLI,1978,17.54
MOZ,1978,12.197
MRT,1978,24.627
MUS,1978,42.787
MWI,1978,8.636
NAM,1978,24.493
NER,1978,13.025
NGA,1978,21.074
RWA,1978,4.575
SDN,1978,19.547
SEN,1978,35.067
SLE,1978,28.972
SOM,1978,26.252
SSA,1978,22.77615340011525
SSD,1978,8.542
STP,1978,32.738
SWZ,1978,15.803
SYC,1978,49.396
TCD,1978,18.4
TGO,1978,23.958
TZA,1978,13.659
UGA,1978,7.276
ZAF,1978,48.289
ZMB,1978,37.832
ZWE,1978,21.345
AFE,1979,20.56595620287329
AFW,1979,24.083918538859745
AGO,1979,23.192
BDI,1979,4.178
BEN,1979,26.676
BFA,1979,8.218
BWA,1979,15.457
CAF,1979,33.546
CIV,1979,36.614
CMR,1979,31.091
COD,1979,26.819
COG,1979,46.932
COM,1979,22.81
CPV,1979,23.02
ERI,1979,14.211
ETH,1979,10.214
GAB,1979,52.337
GHA,1979,30.938
GIN,1979,22.75
GMB,1979,27.585
GNB,1979,16.77
GNQ,1979,27.779
KEN,1979,15.401
LBR,1979,34.181
LSO,1979,11.39
MDG,1979,18.068
MLI,1979,18.007
MOZ,1979,12.669
MRT,1979,25.975
MUS,1979,42.569
MWI,1979,8.841
NAM,1979,24.778
NER,1979,13.233
NGA,1979,21.518
RWA,1979,4.656
SDN,1979,19.752
SEN,1979,35.417
SLE,1979,29.394
SOM,1979,26.507
SSA,1979,23.170341264171487
SSD,1979,8.531
STP,1979,33.109
SWZ,1979,16.137
SYC,1979,49.381
TCD,1979,18.592
TGO,1979,24.308
TZA,1979,14.141
UGA,1979,7.356
ZAF,1979,48.349
ZMB,1979,38.818
ZWE,1979,21.853
AFE,1980,20.90048959916757
AFW,1980,24.568478874350948
AGO,1980,24.298
BDI,1980,4.339
BEN,1980,27.339
BFA,1980,8.805
BWA,1980,16.479
CAF,1980,33.874
CIV,1980,36.829
CMR,1980,31.921
COD,1980,27.072
COG,1980,47.857
COM,1980,23.215
CPV,1980,23.518
ERI,1980,14.39
ETH,1980,10.41
GAB,1980,54.682
GHA,1980,31.163
GIN,1980,23.617
GMB,1980,28.414
GNB,1980,17.804
GNQ,1980,27.872
KEN,1980,15.583
LBR,1980,35.167
LSO,1980,11.45
MDG,1980,18.524
MLI,1980,18.484
MOZ,1980,13.158
MRT,1980,27.371
MUS,1980,42.351
MWI,1980,9.05
NAM,1980,25.066
NER,1980,13.443
NGA,1980,21.97
RWA,1980,4.721
SDN,1980,19.959
SEN,1980,35.769
SLE,1980,29.819
SOM,1980,26.763
SSA,1980,23.55387525795609
SSD,1980,8.519
STP,1980,33.482
SWZ,1980,16.478
SYC,1980,49.366
TCD,1980,18.787
TGO,1980,24.663
TZA,1980,14.555
UGA,1980,7.534
ZAF,1980,48.425
ZMB,1980,39.815
ZWE,1980,22.371
AFE,1981,21.21962767167218
AFW,1981,25.176251965161764
AGO,1981,25.437
BDI,1981,4.503
BEN,1981,28.01
BFA,1981,9.428
BWA,1981,17.552
CAF,1981,34.202
CIV,1981,37.044
CMR,1981,32.761
COD,1981,27.327
COG,1981,48.781
COM,1981,23.649
CPV,1981,24.995
ERI,1981,14.572
ETH,1981,10.61
GAB,1981,57.0
GHA,1981,31.388
GIN,1981,24.503
GMB,1981,29.256
GNB,1981,18.883
GNQ,1981,27.965
KEN,1981,15.681
LBR,1981,36.163
LSO,1981,11.51
MDG,1981,18.988
MLI,1981,18.97
MOZ,1981,14.051
MRT,1981,28.81
MUS,1981,42.134
MWI,1981,9.263
NAM,1981,25.355
NER,1981,13.656
NGA,1981,22.671
RWA,1981,4.786
SDN,1981,20.166
SEN,1981,36.122
SLE,1981,30.248
SOM,1981,27.021
SSA,1981,24.005116262688983
SSD,1981,8.508
STP,1981,33.857
SWZ,1981,16.824
SYC,1981,49.352
TCD,1981,18.982
TGO,1981,25.02
TZA,1981,14.976
UGA,1981,7.834
ZAF,1981,48.591
ZMB,1981,39.854
ZWE,1981,22.895
AFE,1982,21.53131797348415
AFW,1982,25.78200929822288
AGO,1982,26.612
BDI,1982,4.674
BEN,1982,28.692
BFA,1982,10.091
BWA,1982,19.489
CAF,1982,34.532
CIV,1982,37.26
CMR,1982,33.613
COD,1982,27.583
COG,1982,49.707
COM,1982,24.095
CPV,1982,26.535
ERI,1982,14.755
ETH,1982,10.813
GAB,1982,58.372
GHA,1982,31.614
GIN,1982,25.414
GMB,1982,30.113
GNB,1982,20.013
GNQ,1982,28.058
KEN,1982,15.78
LBR,1982,37.173
LSO,1982,11.57
MDG,1982,19.461
MLI,1982,19.466
MOZ,1982,15.035
MRT,1982,30.295
MUS,1982,41.917
MWI,1982,9.481
NAM,1982,25.611
NER,1982,13.871
NGA,1982,23.389
RWA,1982,4.853
SDN,1982,20.376
SEN,1982,36.476
SLE,1982,30.68
SOM,1982,27.28
SSA,1982,24.46581687657279
SSD,1982,8.497
STP,1982,34.826
SWZ,1982,17.176
SYC,1982,49.337
TCD,1982,19.179
TGO,1982,25.391
TZA,1982,15.409
UGA,1982,8.147
ZAF,1982,48.756
ZMB,1982,39.805
ZWE,1982,23.429
AFE,1983,21.903453879027914
AFW,1983,26.39322262549449
AGO,1983,27.821
BDI,1983,4.85
BEN,1983,29.384
BFA,1983,10.796
BWA,1983,21.723
CAF,1983,34.864
CIV,1983,37.476
CMR,1983,34.476
COD,1983,27.84
COG,1983,50.633
COM,1983,24.548
CPV,1983,28.133
ERI,1983,14.94
ETH,1983,11.02
GAB,1983,59.73
GHA,1983,31.842
GIN,1983,26.072
GMB,1983,31.008
GNB,1983,21.194
GNQ,1983,28.151
KEN,1983,15.879
LBR,1983,38.194
LSO,1983,11.63
MDG,1983,19.943
MLI,1983,19.972
MOZ,1983,16.074
MRT,1983,31.822
MUS,1983,41.701
MWI,1983,9.704
NAM,1983,25.861
NER,1983,14.09
NGA,1983,24.122
RWA,1983,4.92
SDN,1983,20.901
SEN,1983,36.832
SLE,1983,31.115
SOM,1983,27.541
SSA,1983,24.953770978414997
SSD,1983,8.708
STP,1983,35.887
SWZ,1983,17.533
SYC,1983,49.322
TCD,1983,19.377
TGO,1983,25.778
TZA,1983,15.851
UGA,1983,8.47
ZAF,1983,48.922
ZMB,1983,39.755
ZWE,1983,24.069
AFE,1984,22.33334466292628
AFW,1984,27.034553031585556
AGO,1984,29.065
BDI,1984,5.033
BEN,1984,30.086
BFA,1984,11.544
BWA,1984,24.139
CAF,1984,35.198
CIV,1984,37.693
CMR,1984,35.35
COD,1984,28.1
COG,1984,51.56
COM,1984,25.006
CPV,1984,29.792
ERI,1984,15.182
ETH,1984,11.232
GAB,1984,61.076
GHA,1984,32.209
GIN,1984,26.346
GMB,1984,32.007
GNB,1984,22.426
GNQ,1984,29.028
KEN,1984,15.979
LBR,1984,39.834
LSO,1984,11.691
MDG,1984,20.434
MLI,1984,20.488
MOZ,1984,17.172
MRT,1984,33.391
MUS,1984,42.012
MWI,1984,9.931
