ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
AGO,1975,built_s,COASTAL_DEFENDED,1in10,2020,1.3966259,,
AGO,1975,built_s,COASTAL_DEFENDED,1in100,2020,1.4623828,,
AGO,1975,built_s,COASTAL_DEFENDED,1in5,2020,1.2173948,,
AGO,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.6242085,,
AGO,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,19.176167,,
AGO,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.6209165,,
AGO,1980,built_s,COASTAL_DEFENDED,1in10,2020,1.5865465,0.18992066,0.025827998
AGO,1980,built_s,COASTAL_DEFENDED,1in100,2020,1.6643091,0.20192635,0.026206085
AGO,1980,built_s,COASTAL_DEFENDED,1in5,2020,1.3803232,0.16292834,0.025439088
AGO,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.9445516,0.32034314,0.036658094
AGO,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,21.459871,2.2837048,0.022758423
AGO,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.75306994,0.13215345,0.039346664
AGO,1985,built_s,COASTAL_DEFENDED,1in10,2020,1.8118749,0.22532833,0.026916369
AGO,1985,built_s,COASTAL_DEFENDED,1in100,2020,1.9043034,0.23999429,0.027307435
AGO,1985,built_s,COASTAL_DEFENDED,1in5,2020,1.5729443,0.19262111,0.026470591
AGO,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.3438148,0.39926326,0.038055956
AGO,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,24.394638,2.9347668,0.025967151
AGO,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.91284806,0.15977812,0.039232304
AGO,1990,built_s,COASTAL_DEFENDED,1in10,2020,2.0698066,0.2579317,0.026976047
AGO,1990,built_s,COASTAL_DEFENDED,1in100,2020,2.180478,0.27617466,0.027455716
AGO,1990,built_s,COASTAL_DEFENDED,1in5,2020,1.7853225,0.21237826,0.025653503
AGO,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.798303,0.45448804,0.036082369
AGO,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,27.775354,3.3807163,0.026296963
AGO,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1.0878795,0.17503148,0.035705929
AGO,1995,built_s,COASTAL_DEFENDED,1in10,2020,2.1155572,0.045750618,0.004382182
AGO,1995,built_s,COASTAL_DEFENDED,1in100,2020,2.2300467,0.049568653,0.004505807
AGO,1995,built_s,COASTAL_DEFENDED,1in5,2020,1.828818,0.043495417,0.004825759
AGO,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.9563763,0.15807343,0.011050842
AGO,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,29.461533,1.6861782,0.011857007
AGO,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1.1374648,0.049585223,0.008954139
AGO,2000,built_s,COASTAL_DEFENDED,1in10,2020,2.1675277,0.051970482,0.004865584
AGO,2000,built_s,COASTAL_DEFENDED,1in100,2020,2.2866316,0.056584835,0.005024027
AGO,2000,built_s,COASTAL_DEFENDED,1in5,2020,1.8780692,0.0492512,0.005329014
AGO,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,3.1792812,0.22290492,0.014644352
AGO,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,31.679562,2.218029,0.014623139
AGO,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1.2028667,0.06540191,0.011243887
AGO,2005,built_s,COASTAL_DEFENDED,1in10,2020,2.457754,0.29022622,0.025450602
AGO,2005,built_s,COASTAL_DEFENDED,1in100,2020,2.5973475,0.3107159,0.025809632
