ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
AGO,1975,pop,COASTAL_DEFENDED,1in10,2020,4315.8823,,
AGO,1975,pop,COASTAL_DEFENDED,1in100,2020,4674.0903,,
AGO,1975,pop,COASTAL_DEFENDED,1in5,2020,3847.833,,
AGO,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,22295.758,,
AGO,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,206848.28,,
AGO,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,8591.492,,
AGO,1980,pop,COASTAL_DEFENDED,1in10,2020,6604.543,2288.6606,0.0888163492854239
AGO,1980,pop,COASTAL_DEFENDED,1in100,2020,7094.1826,2420.0923,0.0870288051179986
AGO,1980,pop,COASTAL_DEFENDED,1in5,2020,5880.8096,2032.9766,0.0885394620706836
AGO,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,28183.97,5888.213,0.0479872243144265
AGO,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,271928.7,65080.406,0.0562351672546379
AGO,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,10880.259,2288.7666,0.0483688823156711
AGO,1985,pop,COASTAL_DEFENDED,1in10,2020,9994.045,3389.502,0.0863748601348497
AGO,1985,pop,COASTAL_DEFENDED,1in100,2020,10652.835,3558.6523,0.0847073015917709
AGO,1985,pop,COASTAL_DEFENDED,1in5,2020,8877.546,2996.7363,0.0858533086594632
AGO,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,35547.13,7363.158,0.0475155220127203
AGO,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,352311.2,80382.5,0.053159815069155
AGO,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,13802.385,2922.126,0.0487282854663353
AGO,1990,pop,COASTAL_DEFENDED,1in10,2020,14966.597,4972.552,0.0841174874052985
AGO,1990,pop,COASTAL_DEFENDED,1in100,2020,15853.458,5200.623,0.0827589021898069
AGO,1990,pop,COASTAL_DEFENDED,1in5,2020,13131.388,4253.842,0.0814427636204773
AGO,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,44933.438,9386.309,0.0479800689683613
AGO,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,433402.56,81091.375,0.0423006541384771
AGO,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,17806.51,4004.125,0.0522645472460905
AGO,1995,pop,COASTAL_DEFENDED,1in10,2020,21164.625,6198.0283,0.0717599069627479
AGO,1995,pop,COASTAL_DEFENDED,1in100,2020,22392.166,6538.708,0.0715055460888114
AGO,1995,pop,COASTAL_DEFENDED,1in5,2020,18455.057,5323.669,0.0704366000698748
AGO,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,53252.766,8319.328,0.034557203287594
AGO,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,525677.06,92274.5,0.0393588406774345
AGO,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,21124.824,3318.3145,0.0347676974272026
AGO,2000,pop,COASTAL_DEFENDED,1in10,2020,29016.328,7851.703,0.0651392202677787
