ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2030,3.8504336,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2050,4.5788627,0.7284291,0.0087008800151016
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in10,2080,6.629749,2.0508862,0.0124136254897593
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2030,4.0409307,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2050,4.766141,0.7252102,0.0082872457993241
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in100,2080,6.896174,2.130033,0.0123904591684134
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2030,3.6040154,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2050,4.5022454,0.8982301,0.0111885118903229
AGO,2020,built_s,COASTAL_DEFENDED,SSP1_2.6,1in5,2080,6.4884906,1.9862452,0.0122562900847307
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2030,3.8926497,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2050,4.752022,0.85937214,0.0100239086783329
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in10,2080,7.3994646,2.6474428,0.0148707346142116
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2030,4.080336,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2050,4.9401846,0.8598485,0.0096070214439603
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in100,2080,7.6012125,2.661028,0.0144671522391921
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2030,3.6526537,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2050,4.6800857,1.027432,0.0124702377114795
AGO,2020,built_s,COASTAL_DEFENDED,SSP2_4.5,1in5,2080,7.3025565,2.6224709,0.0149407825618241
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2030,3.933837,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2050,4.908273,0.9744363,0.0111267924143958
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in10,2080,7.997007,3.0887337,0.016404606288757
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2030,4.1072836,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2050,5.076546,0.9692626,0.0106497703909786
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in100,2080,8.179606,3.1030602,0.0160275142184525
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2030,3.698293,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2050,4.829187,1.130894,0.0134297153262459
AGO,2020,built_s,COASTAL_DEFENDED,SSP3_7.0,1in5,2080,7.9048934,3.0757065,0.0165624578330942
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2030,3.9883554,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2050,5.0704074,1.082052,0.0120744251801208
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2080,8.439618,3.3692107,0.0171289089914925
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2030,4.165892,,
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2050,5.2647157,1.0988235,0.0117736027841499
AGO,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2080,8.605559,3.3408437,0.0165142542532148
