ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2030,106156.56,,
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2050,125135.76,18979.195,0.008258123
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2080,164781.2,39645.445,0.009216187
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2030,111364.086,,
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2050,129983.56,18619.477,0.00776011
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2080,170727.14,40743.58,0.009130047
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2030,98157.23,,
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2050,123129,24971.773,0.011397565
AGO,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2080,161718.84,38589.844,0.009128976
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2030,107226.375,,
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2050,129414.84,22188.469,0.0094484
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2080,181065.34,51650.5,0.01125739
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2030,112330.445,,
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2050,134081.02,21750.57,0.00888924
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2080,185592.88,51511.86,0.010895974
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2030,99496.33,,
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2050,127530.086,28033.758,0.012488924
AGO,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2080,178886.69,51356.6,0.011343868
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2030,108336.016,,
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2050,132957.53,24621.516,0.010292209
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2080,193413.45,60455.92,0.012571713
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2030,113066.55,,
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2050,137299.97,24233.422,0.009756869
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in100,2080,197541.2,60241.234,0.012199787
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2030,100791.25,,
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2050,131068.93,30277.68,0.013220216
AGO,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in5,2080,191399.5,60330.57,0.012701302
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2030,109622.69,,
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2050,136761.47,27138.781,0.011121083
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in10,2080,202512.05,65750.58,0.013171358
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2030,114643.91,,
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2050,141766.38,27122.469,0.010674046
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in100,2080,206490.05,64723.67,0.012614627
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2030,102447.22,,
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2050,134876.25,32429.031,0.013845472
AGO,2020,pop,COASTAL_DEFENDED,SSP5_8.5,1in5,2080,200861.14,65984.89,0.01336371
