ISO_A3,ghsl_year,ghsl_type,ghsl_total_built_s_km2,ghsl_new_built_s_km2,ghsl_rate_built_s_%
AGO,1975,built_s,460.33804,,
AGO,1980,built_s,510.9579,50.619843,0.021084419
AGO,1985,built_s,577.6888,66.730896,0.024853449
AGO,1990,built_s,653.4685,75.779724,0.02495818
AGO,1995,built_s,693.9563,40.487793,0.0120955
AGO,2000,built_s,750.2391,56.282776,0.015718839
AGO,2005,built_s,805.36664,55.127563,0.014282173
AGO,2010,built_s,885.8102,80.44354,0.019223451
AGO,2015,built_s,1014.987,129.17682,0.027599677
AGO,2020,built_s,1284.7676,269.78058,0.048269171
BEN,1975,built_s,192.3351467,,
BEN,1980,built_s,227.166976,34.83182933,0.033849468
BEN,1985,built_s,273.8881991,46.72122311,0.038115379
BEN,1990,built_s,328.6085404,54.72034133,0.037101125
BEN,1995,built_s,364.055808,35.44726756,0.020699315
BEN,2000,built_s,409.2777813,45.22197333,0.023693724
BEN,2005,built_s,474.9239751,65.64619378,0.030199145
BEN,2010,built_s,565.6257991,90.701824,0.035573726
BEN,2015,built_s,666.7455716,101.1197724,0.033442186
BEN,2020,built_s,733.4933049,66.74773333,0.019265214
BWA,1975,built_s,167.53233,,
BWA,1980,built_s,190.8534,23.32106,0.026408518
BWA,1985,built_s,221.66762,30.814224,0.030387239
BWA,1990,built_s,256.41983,34.752213,0.029555749
BWA,1995,built_s,292.0503,35.630463,0.026363511
BWA,2000,built_s,338.4829,46.432617,0.029949245
BWA,2005,built_s,369.00577,30.522858,0.01741769
BWA,2010,built_s,409.7877,40.78192,0.021186693
BWA,2015,built_s,453.57883,43.791138,0.020513551
BWA,2020,built_s,479.51437,25.935547,0.011183029
BFA,1975,built_s,187.6883769,,
BFA,1980,built_s,227.6201529,39.931776,0.039332879
BFA,1985,built_s,286.0032569,58.383104,0.04672369
BFA,1990,built_s,353.9198009,67.916544,0.043534415
BFA,1995,built_s,409.2383858,55.31858489,0.029471434
BFA,2000,built_s,481.8737493,72.63536356,0.033216614
BFA,2005,built_s,591.0336284,109.1598791,0.041683499
BFA,2010,built_s,752.9357653,161.9021369,0.04961287
BFA,2015,built_s,964.591616,211.6558507,0.050792855
BFA,2020,built_s,1250.149717,285.5581013,0.053231183
BDI,1975,built_s,66.86198044,,
BDI,1980,built_s,77.86990933,11.00792889,0.030951148
BDI,1985,built_s,95.61075911,17.74084978,0.041903314
BDI,1990,built_s,118.6686436,23.05788444,0.044157091
BDI,1995,built_s,134.9231929,16.25454933,0.026006534
BDI,2000,built_s,160.1220124,25.19881956,0.034839234
BDI,2005,built_s,188.0482987,27.92628622,0.032675025
BDI,2010,built_s,236.3693084,48.32100978,0.046801497
BDI,2015,built_s,308.66048,72.29117156,0.054819108
BDI,2020,built_s,422.9325084,114.2720284,0.0650206
CPV,1975,built_s,8.993805333,,
CPV,1980,built_s,10.17289333,1.179088,0.024944151
CPV,1985,built_s,11.77340622,1.600512889,0.029654514
CPV,1990,built_s,13.64847644,1.875070222,0.029998066
CPV,1995,built_s,14.81499733,1.166520889,0.016537678
CPV,2000,built_s,17.14008889,2.325091556,0.029585217
CPV,2005,built_s,18.06553956,0.925450667,0.010572727
CPV,2010,built_s,19.50016889,1.434629333,0.015400767
CPV,2015,built_s,21.35565156,1.855482667,0.018344895
CPV,2020,built_s,23.49745956,2.141808,0.019299044
CMR,1975,built_s,387.7006507,,
CMR,1980,built_s,462.6881138,74.98746311,0.035996677
CMR,1985,built_s,566.2192071,103.5310933,0.041212207
CMR,1990,built_s,690.7394276,124.5202204,0.040557131
CMR,1995,built_s,742.7595947,52.02016711,0.014627911
CMR,2000,built_s,809.1010276,66.34143289,0.017257491
CMR,2005,built_s,873.4390044,64.33797689,0.015420591
CMR,2010,built_s,960.7236267,87.28462222,0.019232299
CMR,2015,built_s,1072.766066,112.0424391,0.022306945
CMR,2020,built_s,1226.951566,154.1855004,0.027222393
CAF,1975,built_s,70.329865,,
CAF,1980,built_s,84.37257,14.042702,0.037080089
CAF,1985,built_s,104.10762,19.735054,0.042932616
CAF,1990,built_s,128.80357,24.695953,0.043491895
CAF,1995,built_s,140.3129,11.509323,0.017264603
CAF,2000,built_s,155.83856,15.525665,0.021210961
CAF,2005,built_s,165.24199,9.403427,0.011787014
CAF,2010,built_s,177.33507,12.093079,0.014226232
CAF,2015,built_s,191.01425,13.679184,0.014972386
CAF,2020,built_s,204.45189,13.437637,0.013689785
TCD,1975,built_s,161.90596,,
TCD,1980,built_s,181.93636,20.030396,0.023602484
TCD,1985,built_s,209.61748,27.681122,0.028730464
TCD,1990,built_s,241.75575,32.138275,0.028939554
TCD,1995,built_s,263.07758,21.321823,0.017047882
TCD,2000,built_s,294.09412,31.01654,0.022540456
TCD,2005,built_s,328.352,34.257874,0.022281878
TCD,2010,built_s,377.60217,49.250183,0.028345289
TCD,2015,built_s,445.9139,68.31174,0.033816137
TCD,2020,built_s,556.0118,110.09787,0.045121053
COM,1975,built_s,15.101863,,
COM,1980,built_s,17.392572,2.2907095,0.028647704
COM,1985,built_s,20.23899,2.8464184,0.030777672
COM,1990,built_s,23.575819,3.3368282,0.030992703
COM,1995,built_s,23.609135,0.03331566,0.000282462
COM,2000,built_s,23.644756,0.035621643,0.000301584
COM,2005,built_s,24.273094,0.62833786,0.005259217
COM,2010,built_s,25.013708,0.74061394,0.006029205
COM,2015,built_s,25.72033,0.70662117,0.005587096
COM,2020,built_s,26.136473,0.41614342,0.003215171
COD,1975,built_s,915.06696,,
COD,1980,built_s,1053.3145,138.2475,0.028539632
COD,1985,built_s,1245.7222,192.40771,0.034124026
COD,1990,built_s,1473.0565,227.33435,0.034093108
COD,1995,built_s,1573.0981,100.041626,0.01322824
COD,2000,built_s,1708.4841,135.38599,0.01664897
COD,2005,built_s,1842.0386,133.55444,0.015167135
COD,2010,built_s,2025.5533,183.51477,0.019175548
COD,2015,built_s,2290.5713,265.01794,0.024896539
COD,2020,built_s,2770.5635,479.9922,0.038783065
COG,1975,built_s,119.800606,,
COG,1980,built_s,129.98584,10.185234,0.016453255
COG,1985,built_s,143.20526,13.219421,0.019559513
COG,1990,built_s,158.67232,15.467056,0.02072427
COG,1995,built_s,160.62828,1.9559631,0.002453348
COG,2000,built_s,163.51273,2.8844452,0.00356592
COG,2005,built_s,171.97552,8.462799,0.010143378
COG,2010,built_s,183.25223,11.276703,0.01278328
COG,2015,built_s,201.42914,18.17691,0.019094857
COG,2020,built_s,241.62305,40.19391,0.037058406
CIV,1975,built_s,437.33353,,
CIV,1980,built_s,506.99017,69.65665,0.030000301
CIV,1985,built_s,594.6183,87.62811,0.032399404
CIV,1990,built_s,692.40015,97.78186,0.03091719
CIV,1995,built_s,750.16504,57.764893,0.016154949
CIV,2000,built_s,828.45825,78.29321,0.020053054
CIV,2005,built_s,902.5609,74.10266,0.017281568
CIV,2010,built_s,1004.2133,101.652405,0.021574146
CIV,2015,built_s,1127.6069,123.393616,0.02344935
CIV,2020,built_s,1262.1967,134.58972,0.022807401
GNQ,1975,built_s,16.506784,,
GNQ,1980,built_s,19.594019,3.0872345,0.034885269
GNQ,1985,built_s,23.863657,4.269638,0.040214
GNQ,1990,built_s,28.978695,5.115038,0.039605013
GNQ,1995,built_s,29.126966,0.14827156,0.001021228
GNQ,2000,built_s,29.32914,0.20217323,0.001384378
GNQ,2005,built_s,34.204384,4.875244,0.031232265
GNQ,2010,built_s,42.060055,7.855671,0.042215696
GNQ,2015,built_s,51.554077,9.494022,0.041546438
GNQ,2020,built_s,57.478786,5.9247093,0.021995349
ERI,1975,built_s,16.820152,,
ERI,1980,built_s,20.14762,3.327467,0.036761273
ERI,1985,built_s,24.933138,4.7855186,0.04354371
ERI,1990,built_s,30.429287,5.496149,0.040645873
ERI,1995,built_s,34.44483,4.015545,0.025100526
ERI,2000,built_s,40.31926,5.874428,0.031995236
