===============================================================================================
Country                   | Hazard          | Buildings AAL (USD)  | Total AAL (USD)      | Buildings Share (%)
===============================================================================================
Angola                    | Earthquake      | 7,022,164.10         | 16,838,212.70        | 41.70     %
Angola                    | Flood           | 36,974,197.20        | 55,046,725.50        | 67.17     %
Burundi                   | Earthquake      | 6,404,084.90         | 13,160,566.80        | 48.66     %
Burundi                   | Flood           | 1,351,356.20         | 2,950,297.00         | 45.80     %
Benin                     | Earthquake      | 1,558,607.30         | 3,320,245.30         | 46.94     %
Benin                     | Flood           | 20,868,957.50        | 38,582,972.90        | 54.09     %
Burkina Faso              | Flood           | 7,029,523.60         | 10,366,552.00        | 67.81     %
Botswana                  | Earthquake      | 9,750,794.80         | 15,390,132.90        | 63.36     %
Botswana                  | Flood           | 31,676,782.30        | 53,833,709.20        | 58.84     %
Central African Republic  | Earthquake      | 1,653,455.70         | 2,343,956.80         | 70.54     %
Central African Republic  | Flood           | 14,612,616.80        | 20,135,148.40        | 72.57     %
Côte d’Ivoire             | Earthquake      | 2,668,868.30         | 6,206,052.60         | 43.00     %
Côte d’Ivoire             | Flood           | 36,989,713.80        | 64,923,836.30        | 56.97     %
Cameroon                  | Earthquake      | 26,016,255.70        | 38,044,677.80        | 68.38     %
Cameroon                  | Flood           | 74,490,685.70        | 105,779,851.90       | 70.42     %
Democratic Republic of Congo | Earthquake      | 33,253,962.60        | 54,924,912.40        | 60.54     %
Democratic Republic of Congo | Flood           | 154,227,079.40       | 238,931,884.10       | 64.55     %
Congo                     | Flood           | 301,013,925.60       | 365,387,550.30       | 82.38     %
Comoros                   | Earthquake      | 2,316,569.90         | 3,728,174.70         | 62.14     %
Cabo Verde                | Earthquake      | 190,495.60           | 426,589.60           | 44.66     %
Eritrea                   | Earthquake      | 1,304,620.00         | 2,269,634.50         | 57.48     %
Eritrea                   | Flood           | 1,639,538.60         | 2,463,920.20         | 66.54     %
Ethiopia                  | Earthquake      | 28,325,084.40        | 51,707,321.90        | 54.78     %
Ethiopia                  | Flood           | 86,980,819.90        | 131,076,882.90       | 66.36     %
Gabon                     | Flood           | 65,864,875.50        | 82,370,808.00        | 79.96     %
Ghana                     | Earthquake      | 5,814,440.30         | 13,286,167.80        | 43.76     %
Ghana                     | Flood           | 61,427,771.90        | 104,334,563.40       | 58.88     %
Guinea                    | Flood           | 31,986,809.00        | 44,046,508.70        | 72.62     %
Gambia                    | Earthquake      | 100,631.40           | 234,949.50           | 42.83     %
Gambia                    | Flood           | 1,277,809.40         | 1,600,205.60         | 79.85     %
Guinea-Bissau             | Earthquake      | 101,810.00           | 171,850.20           | 59.24     %
Guinea-Bissau             | Flood           | 557,196.00           | 875,501.70           | 63.64     %
Equatorial Guinea         | Earthquake      | 6,288,938.50         | 10,349,306.00        | 60.77     %
Equatorial Guinea         | Flood           | 16,864,917.80        | 21,644,378.50        | 77.92     %
Kenya                     | Earthquake      | 37,571,879.30        | 59,270,431.40        | 63.39     %
Kenya                     | Flood           | 85,096,858.10        | 124,837,411.90       | 68.17     %
Liberia                   | Earthquake      | 983,537.10           | 1,463,514.10         | 67.20     %
Liberia                   | Flood           | 14,784,344.00        | 20,150,561.30        | 73.37     %
Lesotho                   | Earthquake      | 6,724,224.10         | 9,827,211.90         | 68.42     %
Lesotho                   | Flood           | 13,631,595.10        | 20,463,585.20        | 66.61     %
Madagascar                | Flood           | 41,347,536.00        | 63,539,035.20        | 65.07     %
Mali                      | Flood           | 34,298,060.40        | 50,053,568.30        | 68.52     %
Mozambique                | Earthquake      | 9,974,140.80         | 15,406,736.00        | 64.74     %
Mozambique                | Flood           | 29,927,271.80        | 46,347,908.60        | 64.57     %
Mauritania                | Flood           | 17,005,570.90        | 25,050,853.10        | 67.88     %
Malawi                    | Earthquake      | 10,680,367.60        | 18,694,773.90        | 57.13     %
Malawi                    | Flood           | 9,201,740.50         | 18,968,301.20        | 48.51     %
Namibia                   | Earthquake      | 1,851,395.10         | 4,287,865.50         | 43.18     %
Namibia                   | Flood           | 18,894,250.60        | 34,083,621.20        | 55.43     %
